"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.0349333333333333,0.036197844708483,21.9907269357573
"Effect","Normal(0, 0.71)","Alternative",0.5,0.965066666666667,27.6259541984733,21.9907269357573
"Heterogeneity","Spike(0)","Null",0.5,0.6586,1.92911540714704,2.0814102858083
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.3414,0.518372304889159,2.0814102858083
"Publication Bias","None","Null",0.5,0.679366666666667,2.11882732092733,2.82228346186641
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0301333333333333,0.714599945009623,3.50896451084492
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0272,0.643092105263158,3.95922288609695
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0487,1.17744139598444,2.94042355501224
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0317666666666667,0.754604606327676,3.68153553690709
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0526,1.27696854549293,3.73741326081766
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0475333333333333,1.1478266955974,7.1231676144446
"Publication Bias","PET","Alternative",0.125,0.0638666666666667,0.477567298105683,5.50288611501845
"Publication Bias","PEESE","Alternative",0.125,0.0188333333333333,0.13436385255648,4.80493149550144
