"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.195566666666667,0.24311109269465,5.40803162046206
"Effect","Normal(0, 0.71)","Alternative",0.5,0.804433333333333,4.11334583262315,5.40803162046206
"Heterogeneity","Spike(0)","Null",0.5,0.259533333333333,0.350499684883407,2.1664560159927
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.740466666666667,2.85306961212433,2.1664560159927
"Publication Bias","None","Null",0.5,0.6334,1.72776868521549,2.37389787647278
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0404,0.968320133388912,3.19753774435409
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0224,0.527004909983633,4.2273007316808
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0478,1.15458937198068,2.86891271621358
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.055,1.33862433862434,3.11452379653929
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0366,0.873780361220677,3.66938387123198
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0497333333333333,1.2037322856742,3.78430689072915
"Publication Bias","PET","Alternative",0.125,0.0867333333333333,0.664793050587634,3.56106492925702
"Publication Bias","PEESE","Alternative",0.125,0.0279333333333333,0.201152184349496,4.51784809762088
