"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.589133333333333,1.43387960408892,3.8756004901245
"Effect","Normal(0, 0.71)","Alternative",0.5,0.410866666666667,0.697408622835804,3.87560049012451
"Heterogeneity","Spike(0)","Null",0.5,0.00286666666666667,0.00287490806980009,14.0751144372852
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.997133333333333,347.837209302326,14.0751144372851
"Publication Bias","None","Null",0.5,0.2571,0.346076187912236,3.99784620373399
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0108333333333333,0.251895534962089,6.61362905915651
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.00713333333333333,0.165245417310146,8.55217492589669
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0177333333333333,0.415230080086874,4.56138853252746
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0165666666666667,0.387452123512863,4.90720242003869
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.103566666666667,2.65723422451939,2.89848363066828
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0997,2.54703987559702,2.85476341616181
"Publication Bias","PET","Alternative",0.125,0.282766666666667,2.75972486870846,3.04403225406543
"Publication Bias","PEESE","Alternative",0.125,0.2046,1.80060346995223,3.17753137548473
