"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.560633333333333,1.27600333813823,4.24900021267105
"Effect","Normal(0, 0.71)","Alternative",0.5,0.439366666666667,0.783697009334681,4.24900021267105
"Heterogeneity","Spike(0)","Null",0.5,0.169166666666667,0.203610832497492,4.41495075669737
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.830833333333333,4.91133004926108,4.41495075669737
"Publication Bias","None","Null",0.5,0.158533333333333,0.188401204246554,5.86530422720135
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0049,0.113254949251332,9.02483518532328
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0028,0.0645808263136783,12.135097291385
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.006,0.138832997987928,8.67059305893728
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0032,0.0738362760834671,11.8981620675257
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.423933333333333,16.925934498322,4.24668930593985
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.279366666666667,8.91636985984551,4.52423567889553
"Publication Bias","PET","Alternative",0.125,0.0974666666666667,0.755946225439504,5.91086756272336
"Publication Bias","PEESE","Alternative",0.125,0.0238,0.170661749641467,5.75167726227653
