"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.487633333333333,0.951727278641598,3.21652432635999
"Effect","Normal(0, 0.71)","Alternative",0.5,0.512366666666667,1.05072117027821,3.21652432636
"Heterogeneity","Spike(0)","Null",0.5,0.0342666666666667,0.0354825348612453,3.81560935693432
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.965733333333333,28.1828793774319,3.81560935693432
"Publication Bias","None","Null",0.5,0.376333333333333,0.603420630678781,2.90345785953195
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0086,0.199515836191245,6.52229157158061
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.00313333333333333,0.0722931853139838,10.8963417470769
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0129333333333333,0.3013643117655,5.37972780886649
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.00723333333333333,0.16757882013229,7.19759872295875
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0423333333333333,1.01670727462583,3.41550343974627
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0279,0.660117271885609,4.08990986091714
"Publication Bias","PET","Alternative",0.125,0.3292,3.43530113297555,2.85760672160238
"Publication Bias","PEESE","Alternative",0.125,0.192333333333333,1.66694180767643,3.00055668300419
