"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.8239,4.6785917092561,3.15367976537399
"Effect","Normal(0, 0.71)","Alternative",0.5,0.1761,0.213739531496541,3.15367976537399
"Heterogeneity","Spike(0)","Null",0.5,0.259833333333333,0.351047061472641,2.60285039559077
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.740166666666667,2.84862091084028,2.60285039559077
"Publication Bias","None","Null",0.5,0.423333333333333,0.734104046242775,1.72011158997427
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0734333333333333,1.82282260675612,2.68974033847835
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0555333333333333,1.35236817957225,3.00108239227975
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0786666666666667,1.96382054992764,2.44706766125123
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0959,2.43966375400951,2.46569294470357
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0323,0.767696600186008,3.60871754483503
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0374333333333333,0.894448869342383,3.54636464532686
"Publication Bias","PET","Alternative",0.125,0.129733333333333,1.04351156733568,2.60497366002693
"Publication Bias","PEESE","Alternative",0.125,0.0736666666666667,0.556675062972292,3.31936775915336
