"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.7282,2.67917586460633,5.01759796974237
"Effect","Normal(0, 0.71)","Alternative",0.5,0.2718,0.37324910738808,5.01759796974238
"Heterogeneity","Spike(0)","Null",0.5,0.1617,0.192890373374687,3.99945824641447
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.8383,5.18429189857761,3.99945824641447
"Publication Bias","None","Null",0.5,0.0833666666666667,0.0909487617731554,8.42349224956142
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.00413333333333333,0.0954612397911367,12.2805162987829
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.00236666666666667,0.054562464499315,15.8871585193104
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0042,0.0970074312110866,11.3860324112444
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.00316666666666667,0.0730647048988463,11.6565690947183
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.385966666666667,14.4572498778568,3.41317714613212
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.426033333333333,17.0720134734886,3.35649458394015
"Publication Bias","PET","Alternative",0.125,0.0796666666666667,0.605939876856212,4.92170939884597
"Publication Bias","PEESE","Alternative",0.125,0.0111,0.0785721508747093,8.24749286890948
