"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.837733333333333,5.16269515201315,4.13966091255509
"Effect","Normal(0, 0.71)","Alternative",0.5,0.162266666666667,0.193697278370205,4.13966091255509
"Heterogeneity","Spike(0)","Null",0.5,0.7044,2.382949932341,1.77048484065524
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.2956,0.419647927314026,1.77048484065524
"Publication Bias","None","Null",0.5,0.0647666666666667,0.0692518801012225,5.36728403820369
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0022,0.0507115654439768,14.2636630321626
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.00103333333333333,0.0237912509593246,19.1933643043236
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.00156666666666667,0.0360898741361466,16.013137146475
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0013,0.0299389205967758,16.4130157751614
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.166366666666667,4.59006757567276,2.87774847810703
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.147366666666667,3.97525313733922,2.8743406323639
"Publication Bias","PET","Alternative",0.125,0.242866666666667,2.24539931319891,3.13988175796887
"Publication Bias","PEESE","Alternative",0.125,0.372533333333333,4.15597110072248,3.06111618544652
