"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.5816,1.39005736137667,2.51315591505386
"Effect","Normal(0, 0.71)","Alternative",0.5,0.4184,0.71939477303989,2.51315591505386
"Heterogeneity","Spike(0)","Null",0.5,0.4343,0.76772140710624,1.26373124698252
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.5657,1.30255583697905,1.26373124698252
"Publication Bias","None","Null",0.5,0.333633333333333,0.500675303886749,2.36779578623876
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0267,0.630946265283058,3.72833249282797
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0134333333333333,0.31317363246275,5.3447030328885
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0235666666666667,0.555115556617622,4.16957945682732
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0275666666666667,0.652006992767285,3.72737304346755
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0419333333333333,1.00668011968548,2.97469733459848
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0515,1.2488139167106,2.93025457284997
"Publication Bias","PET","Alternative",0.125,0.2619,2.48380978187238,2.91453246612498
"Publication Bias","PEESE","Alternative",0.125,0.219766666666667,1.97167513991541,2.93735213451946
