"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.0784666666666667,0.0851479418360703,12.2682010749753
"Effect","Normal(0, 0.71)","Alternative",0.5,0.921533333333333,11.7442650807137,12.2682010749753
"Heterogeneity","Spike(0)","Null",0.5,0,0,NA
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,1,Inf,NA
"Publication Bias","None","Null",0.5,0.7407,2.85653682992673,4.06867505983459
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0149666666666667,0.349463639132347,4.9787414719925
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.00416666666666667,0.096234309623431,9.68779772491953
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0195666666666667,0.459014721381702,4.45615795672763
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.00853333333333333,0.197955890263583,6.70885500712939
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0277,0.655250437107888,5.19030699748436
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0196666666666667,0.461407684461068,7.60474076125798
"Publication Bias","PET","Alternative",0.125,0.126833333333333,1.01679709868295,5.58446112300035
"Publication Bias","PEESE","Alternative",0.125,0.0378666666666667,0.27549889135255,3.98360987557181
