"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.110166666666667,0.123805956171568,12.4809494955201
"Effect","Normal(0, 0.71)","Alternative",0.5,0.889833333333333,8.07715582450832,12.4809494955201
"Heterogeneity","Spike(0)","Null",0.5,0.0146,0.0148163182463974,7.89029847633799
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.9854,67.4931506849315,7.89029847633802
"Publication Bias","None","Null",0.5,0.635066666666667,1.74022652539277,4.79064032637757
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0222333333333333,0.522994579483858,4.23368518761399
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0116,0.269931201942533,6.01574093723942
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0292,0.69180057684384,3.69887761652191
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0188,0.440684875662454,4.85233594259978
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0627333333333333,1.53944092751974,4.87387920604066
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0614,1.50458129128489,6.44968519160178
"Publication Bias","PET","Alternative",0.125,0.127833333333333,1.0259889164915,6.37086398595601
"Publication Bias","PEESE","Alternative",0.125,0.0311333333333333,0.224936351751187,4.45634700250692
