"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.409,0.692047377326565,3.87370701784478
"Effect","Normal(0, 0.71)","Alternative",0.5,0.591,1.44498777506112,3.87370701784478
"Heterogeneity","Spike(0)","Null",0.5,0.4064,0.684636118598383,1.46063011463347
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.5936,1.46062992125984,1.46063011463347
"Publication Bias","None","Null",0.5,0.385533333333333,0.627427579472713,3.066856068473
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0173333333333333,0.405698778833107,4.55569774663424
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0114333333333333,0.266008025086826,5.77020283808147
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0236333333333333,0.556723908367758,3.85030589300817
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0173333333333333,0.405698778833107,4.59920735869703
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0564,1.37473505722764,2.89779832069692
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0535,1.3000528262018,2.91014068322437
"Publication Bias","PET","Alternative",0.125,0.297733333333333,2.96772356179989,3.27981863542365
"Publication Bias","PEESE","Alternative",0.125,0.1371,1.11217985861629,3.08361969839936
