"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.793333333333333,3.83870967741935,3.17840903777449
"Effect","Normal(0, 0.71)","Alternative",0.5,0.206666666666667,0.260504201680672,3.17840903777449
"Heterogeneity","Spike(0)","Null",0.5,0.0072,0.0072522159548751,8.88158837087386
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.9928,137.888888888889,8.88158837087388
"Publication Bias","None","Null",0.5,0.556366666666667,1.25411375760763,1.80920438090948
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0155666666666667,0.363694849829005,4.91406267712426
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.00726666666666667,0.168356725538916,7.28061530821711
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0247666666666667,0.584099531735995,3.78899477249563
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0134,0.312385972025137,5.25071399368026
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.1954,5.58563261247825,2.49323234852826
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.1101,2.84560062928419,3.12702811023751
"Publication Bias","PET","Alternative",0.125,0.0498666666666667,0.367387033398821,3.44822908426401
"Publication Bias","PEESE","Alternative",0.125,0.0272666666666667,0.19621684600096,4.08949793815366
