"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.5917,1.44917952485917,3.9119684691917
"Effect","Normal(0, 0.71)","Alternative",0.5,0.4083,0.690045631232043,3.9119684691917
"Heterogeneity","Spike(0)","Null",0.5,0.1715,0.207000603500302,4.46132263729135
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.8285,4.83090379008746,4.46132263729135
"Publication Bias","None","Null",0.5,0.207233333333333,0.261405205398814,2.66247059474933
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.118866666666667,3.1027464628887,4.69561123327063
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0775,1.93224932249322,4.86586804199745
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0378,0.903554354604033,3.34162366366749
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.1559,4.24795640326975,3.67261854447656
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0274666666666667,0.649574993145051,4.10759575159465
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0679333333333333,1.67634647020957,3.58715581857278
"Publication Bias","PET","Alternative",0.125,0.149966666666667,1.23497117760088,3.02910009893317
"Publication Bias","PEESE","Alternative",0.125,0.157333333333333,1.30696202531646,3.11634583548286
