"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.658466666666667,1.92797189146984,2.90747644033379
"Effect","Normal(0, 0.71)","Alternative",0.5,0.341533333333333,0.518679761061051,2.90747644033379
"Heterogeneity","Spike(0)","Null",0.5,0.0537,0.0567473317129874,4.17214391478325
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.9463,17.6219739292365,4.17214391478325
"Publication Bias","None","Null",0.5,0.4826,0.932740626207963,1.89154628461735
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0194333333333333,0.455824863174355,4.42709200768344
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0075,0.173803526448363,6.98734291788624
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0244,0.575235752357524,3.90751520383523
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0285333333333333,0.675542135602525,3.85075994622282
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0509333333333333,1.23433548749649,3.00970061319924
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0599666666666667,1.46721747455764,2.89937127451631
"Publication Bias","PET","Alternative",0.125,0.2416,2.22995780590717,2.47879415669969
"Publication Bias","PEESE","Alternative",0.125,0.0850333333333333,0.650551932675143,2.95824985870982
