"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.889666666666667,8.06344410876133,4.07446579755571
"Effect","Normal(0, 0.71)","Alternative",0.5,0.110333333333333,0.124016485575122,4.07446579755571
"Heterogeneity","Spike(0)","Null",0.5,0.7271,2.66434591425431,1.82962820016091
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.2729,0.375326640077018,1.82962820016091
"Publication Bias","None","Null",0.5,0.0287,0.0295480284155256,7.11621078409347
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.00343333333333333,0.0792387196039736,11.1205510467545
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.00196666666666667,0.0453224675194549,15.3007588322528
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0065,0.15047810770005,8.69352873852499
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0130666666666667,0.304512293974602,6.15259575882793
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.00863333333333333,0.200295887831613,8.18471730217963
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0187,0.438296137776419,6.16151458747575
"Publication Bias","PET","Alternative",0.125,0.3036,3.05169442848937,4.07467927508319
"Publication Bias","PEESE","Alternative",0.125,0.6154,11.2007280291212,4.08234211621734
