"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.777533333333333,3.49505543901708,3.2357477427809
"Effect","Normal(0, 0.71)","Alternative",0.5,0.222466666666667,0.286118494383949,3.2357477427809
"Heterogeneity","Spike(0)","Null",0.5,0.244633333333333,0.323860376858921,2.07048051904834
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.755366666666667,3.08775037471045,2.07048051904834
"Publication Bias","None","Null",0.5,0.415766666666667,0.711644890740001,1.83795502053122
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0269,0.635803103483712,3.88631407113768
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0117666666666667,0.273855702094647,5.82081197725151
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0295,0.699124162802679,3.59225171619095
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0508666666666667,1.23263327948304,3.15976469706745
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0218666666666667,0.514176663031625,4.13280695783408
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0302666666666667,0.717860580228242,3.8045277309225
"Publication Bias","PET","Alternative",0.125,0.214466666666667,1.91114317236697,2.25658512418124
"Publication Bias","PEESE","Alternative",0.125,0.1986,1.73471425006239,2.82234015765313
