"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.5214,1.08942749686586,2.30904563768424
"Effect","Normal(0, 0.71)","Alternative",0.5,0.4786,0.917913310318374,2.30904563768424
"Heterogeneity","Spike(0)","Null",0.5,0.000166666666666667,0.000166694449074846,44.7270248061121
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.999833333333333,5999,44.727024806117
"Publication Bias","None","Null",0.5,0.244533333333333,0.323685139428168,2.59045267867491
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.00733333333333333,0.169912693082606,7.22520764747144
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0032,0.0738362760834671,11.1558961584869
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0086,0.199515836191245,6.49768274732587
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.00623333333333333,0.144265924261228,7.64623730468214
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.189866666666667,5.39038841342989,2.89799499505277
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.149166666666667,4.03232125367287,3.10026177884826
"Publication Bias","PET","Alternative",0.125,0.161733333333333,1.3505646572292,2.36137678639032
"Publication Bias","PEESE","Alternative",0.125,0.229333333333333,2.08304498269896,2.57392837079245
