"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.4385,0.780943900267142,3.96306407969174
"Effect","Normal(0, 0.71)","Alternative",0.5,0.5615,1.28050171037628,3.96306407969174
"Heterogeneity","Spike(0)","Null",0.5,0.00113333333333333,0.00113461923513315,20.5522206878302
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.998866666666667,881.35294117647,20.5522206878304
"Publication Bias","None","Null",0.5,0.513366666666667,1.05493526953901,3.1967737953873
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0104333333333333,0.24249671573416,6.14086053861734
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.00296666666666667,0.0684363612049079,12.8407374215398
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0145,0.338406900050736,5.04659335498678
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.00803333333333333,0.186262979266776,6.88076408561078
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0125333333333333,0.291925465838509,5.44906487826613
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.00883333333333333,0.204977299478729,6.51700295648172
"Publication Bias","PET","Alternative",0.125,0.327033333333333,3.40170389816237,3.28843085946292
"Publication Bias","PEESE","Alternative",0.125,0.1023,0.797705246741673,3.35385080744704
