"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.968566666666667,30.813361611877,7.14406448908375
"Effect","Normal(0, 0.71)","Alternative",0.5,0.0314333333333333,0.0324534535568021,7.14406448908375
"Heterogeneity","Spike(0)","Null",0.5,0.770566666666667,3.35856457939852,2.73637059825642
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.229433333333333,0.297746247350435,2.73637059825642
"Publication Bias","None","Null",0.5,0.232833333333333,0.303497718878992,1.79217763993744
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0106666666666667,0.247978436657682,5.90848987674393
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.00636666666666667,0.147371599181455,7.67436436580125
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0319333333333333,0.758694304799945,3.50135825578829
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0327,0.777525069781867,3.44404243655081
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.118666666666667,3.09682299546142,2.29178780016542
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.120966666666667,3.16510560843351,2.38982279859886
"Publication Bias","PET","Alternative",0.125,0.372033333333333,4.14708848665004,2.68874972793587
"Publication Bias","PEESE","Alternative",0.125,0.0738333333333333,0.55803491092316,3.7363172110425
