"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.4317,0.759633996128805,6.82143307643236
"Effect","Normal(0, 0.71)","Alternative",0.5,0.5683,1.31642344220524,6.82143307643236
"Heterogeneity","Spike(0)","Null",0.5,0.0283,0.0291242152927858,8.15250223786485
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.9717,34.3356890459364,8.15250223786485
"Publication Bias","None","Null",0.5,0.245233333333333,0.324912776575542,5.67479187648716
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.00436666666666667,0.100873815661723,10.3535361400818
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0025,0.0576441102756892,12.9156003467193
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0094,0.218251564708258,6.74684607975904
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.00373333333333333,0.0861884368308351,10.7140428899217
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0186333333333333,0.436703916307191,6.17150812646934
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0117666666666667,0.273855702094647,8.08828629795197
"Publication Bias","PET","Alternative",0.125,0.5792,9.63498098859316,6.10766745750199
"Publication Bias","PEESE","Alternative",0.125,0.125166666666667,1.00152409982854,4.20473662539437
