"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.532666666666667,1.1398002853067,3.51417329863754
"Effect","Normal(0, 0.71)","Alternative",0.5,0.467333333333333,0.877346683354193,3.51417329863754
"Heterogeneity","Spike(0)","Null",0.5,0.654,1.89017341040462,1.54566740874802
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.346,0.529051987767584,1.54566740874802
"Publication Bias","None","Null",0.5,0.2844,0.397428731134712,3.48106462754642
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0110666666666667,0.25738169071053,5.7411857274678
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.00796666666666667,0.184704815026377,7.13841758941426
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0171666666666667,0.40172969306427,4.78586716689843
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0128333333333333,0.299003883167314,5.35881008619343
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0740333333333333,1.83890708808812,2.76877525979362
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0666,1.64109706449539,2.92622074317007
"Publication Bias","PET","Alternative",0.125,0.269066666666667,2.57679678949289,2.91127856575459
"Publication Bias","PEESE","Alternative",0.125,0.256866666666667,2.41957477348165,3.03600937205411
