"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.852833333333333,5.79501698754247,5.16878934976931
"Effect","Normal(0, 0.71)","Alternative",0.5,0.147166666666667,0.172562048075044,5.16878934976931
"Heterogeneity","Spike(0)","Null",0.5,0.826866666666667,4.77589526376588,2.64495488507068
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.173133333333333,0.209384826251713,2.64495488507068
"Publication Bias","None","Null",0.5,0.388433333333333,0.635144710306862,1.51968466097564
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0483666666666667,1.16897264352517,2.75533289694049
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0304666666666667,0.722753214604965,3.52001013706472
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0457,1.10143560725139,2.8273987414352
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.074,1.83801295896328,2.28867248460777
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0741,1.84069553947511,2.30744733194226
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.1052,2.70406794814484,2.05199299775686
"Publication Bias","PET","Alternative",0.125,0.157666666666667,1.31024930747922,2.19434594569801
"Publication Bias","PEESE","Alternative",0.125,0.0760666666666667,0.576304206652717,2.50091921680675
