"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.9047,9.49317943336831,4.84663533688227
"Effect","Normal(0, 0.71)","Alternative",0.5,0.0953,0.105338786338013,4.84663533688227
"Heterogeneity","Spike(0)","Null",0.5,0.7809,3.56412596987677,2.41602225320343
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.2191,0.280573697016263,2.41602225320343
"Publication Bias","None","Null",0.5,0.137466666666667,0.159375483073118,2.2702342081342
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.00763333333333333,0.176917134123812,6.82404552124457
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0103666666666667,0.240930984539729,5.99775769027565
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0414666666666667,0.994992349422729,3.07757437114026
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0343,0.816920368644507,3.36472192120681
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.1419,3.80340286679874,2.05217112787085
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.131633333333333,3.48650723580669,2.1235315994787
"Publication Bias","PET","Alternative",0.125,0.2971,2.95874235310855,2.30646500560755
"Publication Bias","PEESE","Alternative",0.125,0.198133333333333,1.72963086132358,2.18419369773065
