"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.8802,7.34724540901502,4.84703179886492
"Effect","Normal(0, 0.71)","Alternative",0.5,0.1198,0.136105430583958,4.84703179886492
"Heterogeneity","Spike(0)","Null",0.5,0.7742,3.42869796279894,2.36270170630018
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.2258,0.291655902867476,2.36270170630018
"Publication Bias","None","Null",0.5,0.318233333333333,0.466777489854789,1.77375620273698
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.019,0.44546381243629,4.4169749013073
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0146666666666667,0.342354533152909,4.83508482847653
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0381333333333333,0.911838092597727,3.08543310439892
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0326666666666667,0.77670572019297,3.44338172527242
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0742666666666667,1.84516779490134,2.37769784546692
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0729,1.80854276777047,2.35675367598663
"Publication Bias","PET","Alternative",0.125,0.329766666666667,3.44412393693738,2.1253871123243
"Publication Bias","PEESE","Alternative",0.125,0.100366666666667,0.780947793545519,2.24220512511067
