"corpus_id","scheme","stratum","dataset_id","analysis_id","source_key","source_article","source_year","outcome_slug","analysis_variant","parent_dataset_id","exclusion_reason","path_stratum","legacy_basename","has_excl_variant","positive_effect_interpretation","schema_version","estimand_version","n_studies","baseline_engine","baseline_model_family","baseline_model_averaged","baseline_bias_adjusted","mu_RE","mu_RE_lCI","mu_RE_uCI","mu_BC","mu_BC_lCI","mu_BC_uCI","tau_RE","tau_RE_lCI","tau_RE_uCI","tau_BC","tau_BC_lCI","tau_BC_uCI","prior_p_effect","post_p_effect","log10BF_effect","prior_p_het","post_p_het","log10BF_het","prior_p_bias","post_p_bias","log10BF_bias","prior_p_no_bias","post_p_no_bias","log10BF_no_bias","prior_p_muplus_omega0","post_p_muplus_omega0","log10BF_muplus_omega0","prior_p_mu0_omega0","post_p_mu0_omega0","log10BF_mu0_omega0","prior_p_muplus_omegaplus","post_p_muplus_omegaplus","log10BF_muplus_omegaplus","prior_p_mu0_omegaplus","post_p_mu0_omegaplus","log10BF_mu0_omegaplus","prior_p_rigor_effect","post_p_rigor_effect","log10BF_rigor_effect","prior_p_rigor_no_effect","post_p_rigor_no_effect","log10BF_rigor_no_effect","log10BF_rigor","rigor_direction","rigor_margin","rigor_category","family_evidence_uncertain","partition_ok","unresolved_labels","component_probability_validation_ok","component_bf_validation_ok","component_validation_ok","validation_failure_reason","max_abs_diff_component_prior","max_abs_diff_component_post","max_abs_diff_component_bf","sample","burnin","adapt","chains","thin","seed","model_type","effect_direction","config_hash","script_hash","robma_version","bayestools_version","measure","fit_engine","run_id"
"nutrition_v4","nutrition_domain","omega3","abdelhamid2018_omega3_all_cause_mortality","nutrition_v4__omega3__abdelhamid2018__all_cause_mortality__main","abdelhamid2018","abdelhamid2018",2018,"all_cause_mortality","main",NA,NA,"omega3","abdelhamid2018_omega3_all_cause_mortality",FALSE,NA,"sidecar_v4.0","rigor_selected_v1",45,"brma","muplus_tauplus_omega0",FALSE,FALSE,0.0180584581224271,-0.0131141533219487,0.0509269454739879,0.00035999010975887,0,0.00112028013388996,0.0379863024389576,0.0028151592925453,0.0879036423734509,0.00825585662110729,0,0.0604348319153426,0.5,0.0314333333333333,-1.48873908065545,0.5,0.229433333333333,-0.526153703448103,0.5,0.767166666666667,0.517844568779792,0.5,0.232833333333333,-0.517844568779792,0.25,0.0135333333333333,-1.3855563811734,0.25,0.2193,-0.0743242929675023,0.25,0.0179,-1.26218142534306,0.25,0.749266666666667,0.952545592512316,0.25,0.0135333333333333,-1.3855563811734,0.25,0.2193,-0.0743242929675023,-0.0743242929675023,"no_effect",1.31123208820589,"inconclusive_clean_evidence",FALSE,TRUE,0,TRUE,TRUE,TRUE,"ok",0,0,0,5000,2000,500,6,1,50926,"PSMA","positive","7011227781d12d21","2fe625a974c914af","4.0.0","0.3.0","SMD","RoBMA4::RoBMA(model_type=PSMA)+brma","20260515T184716_abdelhamid2018_omega3_all_cause_mortality"
"nutrition_v4","nutrition_domain","omega3","abdelhamid2018_omega3_cardiovascular_events","nutrition_v4__omega3__abdelhamid2018__cardiovascular_events__main","abdelhamid2018","abdelhamid2018",2018,"cardiovascular_events","main",NA,NA,"omega3","abdelhamid2018_omega3_cardiovascular_events",FALSE,NA,"sidecar_v4.0","rigor_selected_v1",43,"brma","muplus_tauplus_omega0",FALSE,FALSE,0.020609159125681,-0.0107567651537022,0.052174466296549,0.00102043979454794,0,0.0196109620747193,0.0534456765142386,0.0191929429618531,0.0981776438907923,0.0497297058678219,0,0.096117522958156,0.5,0.0548,-1.23674315447596,0.5,0.901966666666667,0.963816718142311,0.5,0.3105,-0.34647266599927,0.5,0.6895,0.34647266599927,0.25,0.0430333333333333,-0.869970568305772,0.25,0.646466666666667,0.739237023211254,0.25,0.0117666666666667,-1.44708479326351,0.25,0.298733333333333,0.106521743522646,0.25,0.0430333333333333,-0.869970568305772,0.25,0.646466666666667,0.739237023211254,0.739237023211254,"no_effect",1.60920759151703,"clean_no_effect_supported",FALSE,TRUE,0,TRUE,TRUE,TRUE,"ok",0,1.11022302462516e-16,5.55111512312578e-16,5000,2000,500,6,1,50926,"PSMA","positive","7011227781d12d21","2fe625a974c914af","4.0.0","0.3.0","SMD","RoBMA4::RoBMA(model_type=PSMA)+brma","20260515T184723_abdelhamid2018_omega3_cardiovascular_events"
"nutrition_v4","nutrition_domain","omega3","abdelhamid2018_omega3_coronary_heart_disease_events","nutrition_v4__omega3__abdelhamid2018__coronary_heart_disease_events__main","abdelhamid2018","abdelhamid2018",2018,"coronary_heart_disease_events","main",NA,NA,"omega3","abdelhamid2018_omega3_coronary_heart_disease_events",FALSE,NA,"sidecar_v4.0","rigor_selected_v1",32,"brma","muplus_tauplus_omega0",FALSE,FALSE,0.0531451128548076,0.00758305978397204,0.101207615304147,0.0119648790045164,0,0.0799888552466798,0.0684233631746523,0.0291944692044538,0.122837274789507,0.0749193216304308,0.0119299618942821,0.132513567857782,0.5,0.241166666666667,-0.497829119189152,0.5,0.9757,1.60371003139164,0.5,0.4495,-0.088027627238523,0.5,0.5505,0.088027627238523,0.25,0.1933,-0.143358948194749,0.25,0.3572,0.221956836844864,0.25,0.0478666666666667,-0.821543329776787,0.25,0.401633333333333,0.303983612180072,0.25,0.1933,-0.143358948194749,0.25,0.3572,0.221956836844864,0.221956836844864,"no_effect",0.365315785039613,"inconclusive_clean_evidence",FALSE,TRUE,0,TRUE,TRUE,TRUE,"ok",0,0,0,5000,2000,500,6,1,50926,"PSMA","positive","7011227781d12d21","2fe625a974c914af","4.0.0","0.3.0","SMD","RoBMA4::RoBMA(model_type=PSMA)+brma","20260515T184746_abdelhamid2018_omega3_coronary_heart_disease_events"
"nutrition_v4","nutrition_domain","omega3","abdelhamid2018_omega3_stroke","nutrition_v4__omega3__abdelhamid2018__stroke__main","abdelhamid2018","abdelhamid2018",2018,"stroke","main",NA,NA,"omega3","abdelhamid2018_omega3_stroke",FALSE,NA,"sidecar_v4.0","rigor_selected_v1",31,"brma","muplus_tauplus_omega0",FALSE,FALSE,0.0147984111604458,-0.0423037778732797,0.0791240799152676,-9.83267420221138e-06,0,0,0.0601208160952993,0.00335503651277747,0.149306191526976,0.00756558391132338,0,0.0826962884490749,0.5,0.0297333333333333,-1.51364751187329,0.5,0.157566666666667,-0.72807119506275,0.5,0.3368,-0.294272434714605,0.5,0.6632,0.294272434714605,0.25,0.0191,-1.23347011256662,0.25,0.6441,0.734746565871728,0.25,0.0106333333333333,-1.49156659114705,0.25,0.326166666666667,0.162008339043989,0.25,0.0191,-1.23347011256662,0.25,0.6441,0.734746565871728,0.734746565871728,"no_effect",1.96821667843834,"clean_no_effect_supported",FALSE,TRUE,0,TRUE,TRUE,TRUE,"ok",0,0,0,5000,2000,500,6,1,50926,"PSMA","positive","7011227781d12d21","2fe625a974c914af","4.0.0","0.3.0","SMD","RoBMA4::RoBMA(model_type=PSMA)+brma","20260515T184753_abdelhamid2018_omega3_stroke"
"nutrition_v4","nutrition_domain","omega3","abdelhamid2018_omega3_triglycerides","nutrition_v4__omega3__abdelhamid2018__triglycerides__main","abdelhamid2018","abdelhamid2018",2018,"triglycerides","main",NA,NA,"omega3","abdelhamid2018_omega3_triglycerides",FALSE,NA,"sidecar_v4.0","rigor_selected_v1",23,"brma","muplus_tauplus_omega0",FALSE,FALSE,0.260720111809805,0.159177144195687,0.371108450661775,0.115667049410092,0,0.33101721268572,0.173345992063185,0.095563143411357,0.284656539451601,0.15834438812701,0,0.281386723196136,0.5,0.5683,0.119395607388463,0.5,0.9717,1.53574576720555,0.5,0.754766666666667,0.488233210516648,0.5,0.245233333333333,-0.488233210516648,0.25,0.245133333333333,-0.0113466227259752,0.25,1e-04,-3.52283531366053,0.25,0.323166666666667,0.156066074308331,0.25,0.4316,0.357548621475103,0.25,0.245133333333333,-0.0113466227259752,0.25,1e-04,-3.52283531366053,-0.0113466227259752,"effect",3.51148869093455,"inconclusive_clean_evidence",FALSE,TRUE,0,TRUE,TRUE,TRUE,"ok",0,1.11022302462516e-16,2.77555756156289e-16,5000,2000,500,6,1,50926,"PSMA","positive","7011227781d12d21","2fe625a974c914af","4.0.0","0.3.0","SMD","RoBMA4::RoBMA(model_type=PSMA)+brma","20260515T184759_abdelhamid2018_omega3_triglycerides"
"nutrition_v4","nutrition_domain","omega3","bloch2012_omega3_depression_excl","nutrition_v4__omega3__bloch2012__depression__excl","bloch2012","bloch2012",2012,"depression_excl","exclusion_sensitivity","bloch2012_omega3_depression","unspecified__see_data_dictionary","omega3","bloch2012_omega3_depression_excl",TRUE,NA,"sidecar_v4.0","rigor_selected_v1",12,"brma","muplus_tauplus_omega0",FALSE,FALSE,0.158825226701731,-0.143740801780146,0.473295525226111,-0.016269855585512,-0.492265445214137,0.283423502464287,0.440535584618697,0.214847130904023,0.72613386800073,0.389614669395968,0,0.680740772347891,0.5,0.2742,-0.422749513411044,0.5,0.973,1.55674907610936,0.5,0.6096,0.19353514933689,0.5,0.3904,-0.19353514933689,0.25,0.101366666666667,-0.470566103854958,0.25,0.289033333333333,0.0862199467061178,0.25,0.172833333333333,-0.20284426408862,0.25,0.436766666666667,0.366682391665353,0.25,0.101366666666667,-0.470566103854958,0.25,0.289033333333333,0.0862199467061178,0.0862199467061178,"no_effect",0.556786050561076,"inconclusive_clean_evidence",FALSE,TRUE,0,TRUE,TRUE,TRUE,"ok",0,0,0,5000,2000,500,6,1,50926,"PSMA","positive","7011227781d12d21","2fe625a974c914af","4.0.0","0.3.0","SMD","RoBMA4::RoBMA(model_type=PSMA)+brma","20260515T184818_bloch2012_omega3_depression_excl"
"nutrition_v4","nutrition_domain","omega3","brown2019_omega3_fasting_glucose","nutrition_v4__omega3__brown2019__fasting_glucose__main","brown2019","brown2019",2019,"fasting_glucose","main",NA,NA,"omega3","brown2019_omega3_fasting_glucose",FALSE,NA,"sidecar_v4.0","rigor_selected_v1",34,"brma","muplus_tauplus_omega0",FALSE,FALSE,0.0191050981441897,-0.03525862274317,0.0557523602984153,0.00942747887468244,0,0.04949054696872,0.0356479931849156,0.00139203923201979,0.103202486343745,0.0315438927707769,0,0.0968712642082186,0.5,0.2999,-0.368183611892419,0.5,0.6634,0.294661355543658,0.5,0.263133333333333,-0.447213043627036,0.5,0.736866666666667,0.447213043627036,0.25,0.2452,-0.0111901709268539,0.25,0.491666666666667,0.46264343135104,0.25,0.0547,-0.760461076840569,0.25,0.208433333333333,-0.102399068845185,0.25,0.2452,-0.0111901709268539,0.25,0.491666666666667,0.46264343135104,0.46264343135104,"no_effect",0.473833602277894,"inconclusive_clean_evidence",FALSE,TRUE,0,TRUE,TRUE,TRUE,"ok",0,0,0,5000,2000,500,6,1,50926,"PSMA","positive","7011227781d12d21","2fe625a974c914af","4.0.0","0.3.0","SMD","RoBMA4::RoBMA(model_type=PSMA)+brma","20260515T184826_brown2019_omega3_fasting_glucose"
"nutrition_v4","nutrition_domain","omega3","goldberg2007_omega3_pain_assessment","nutrition_v4__omega3__goldberg2007__pain_assessment__main","goldberg2007","goldberg2007",2007,"pain_assessment","main",NA,NA,"omega3","goldberg2007_omega3_pain_assessment",FALSE,NA,"sidecar_v4.0","rigor_selected_v1",13,"brma","muplus_tauplus_omega0",FALSE,FALSE,0.248944092249639,0.012637483755711,0.479281618046505,0.08853308155793,-0.107542477176195,0.408476473139469,0.251411580005426,0.028156636612544,0.50464181078981,0.210811777129413,0,0.502687611772194,0.5,0.4582,-0.0727839158437708,0.5,0.780233333333333,0.550262679390968,0.5,0.5368,0.064043956441556,0.5,0.4632,-0.064043956441556,0.25,0.308266666666667,0.126109117056111,0.25,0.154933333333333,-0.259624852080307,0.25,0.149933333333333,-0.276433535591278,0.25,0.386866666666667,0.27712763879935,0.25,0.308266666666667,0.126109117056111,0.25,0.154933333333333,-0.259624852080307,0.126109117056111,"effect",0.385733969136419,"inconclusive_clean_evidence",FALSE,TRUE,0,TRUE,TRUE,TRUE,"ok",0,0,0,5000,2000,500,6,1,50926,"PSMA","positive","7011227781d12d21","2fe625a974c914af","4.0.0","0.3.0","SMD","RoBMA4::RoBMA(model_type=PSMA)+brma","20260515T184830_goldberg2007_omega3_pain_assessment"
"nutrition_v4","nutrition_domain","omega3","goldberg2007_omega3_painful_tender_joints","nutrition_v4__omega3__goldberg2007__painful_tender_joints__main","goldberg2007","goldberg2007",2007,"painful_tender_joints","main",NA,NA,"omega3","goldberg2007_omega3_painful_tender_joints",FALSE,NA,"sidecar_v4.0","rigor_selected_v1",10,"brma","muplus_tauplus_omega0",FALSE,FALSE,0.284400668028414,0.0681811679310503,0.498842928898956,0.079739394586345,-0.292577709911017,0.419860562090084,0.139188882407323,0.00589589928412317,0.386636740154425,0.0506272114096717,0,0.327295337963068,0.5,0.467333333333333,-0.0568287613473327,0.5,0.346,-0.276501649531491,0.5,0.7156,0.400740739837607,0.5,0.2844,-0.400740739837607,0.25,0.250633333333333,0.00146571392839983,0.25,0.0337666666666667,-0.979472570436692,0.25,0.2167,-0.0809479605031264,0.25,0.4989,0.475210355916367,0.25,0.250633333333333,0.00146571392839983,0.25,0.0337666666666667,-0.979472570436692,0.00146571392839983,"effect",0.980938284365092,"inconclusive_clean_evidence",FALSE,TRUE,0,TRUE,TRUE,TRUE,"ok",0,0,0,5000,2000,500,6,1,50926,"PSMA","positive","7011227781d12d21","2fe625a974c914af","4.0.0","0.3.0","SMD","RoBMA4::RoBMA(model_type=PSMA)+brma","20260515T184847_goldberg2007_omega3_painful_tender_joints"
"nutrition_v4","nutrition_domain","omega3","grosso2014_omega3_depression_diagnosis","nutrition_v4__omega3__grosso2014__depression_diagnosis__main","grosso2014","grosso2014",2014,"depression_diagnosis","main",NA,NA,"omega3","grosso2014_omega3_depression_diagnosis",FALSE,NA,"sidecar_v4.0","rigor_selected_v1",12,"brma","muplus_tauplus_omega0",FALSE,FALSE,0.511210507553746,0.182717215143779,0.841753273633934,0.125477778621065,-0.408650763252603,0.689975267612876,0.466235251407513,0.221167881734334,0.771742095633039,0.423537912551053,0,0.757539593881331,0.5,0.496733333333333,-0.00567486197389856,0.5,0.966966666666667,1.46645910354981,0.5,0.839066666666667,0.717150461650137,0.5,0.160933333333333,-0.717150461650137,0.25,0.152533333333333,-0.267636609358674,0.25,0.0084,-1.59493597731424,0.25,0.3442,0.197160708377857,0.25,0.494866666666667,0.468203428022919,0.25,0.152533333333333,-0.267636609358674,0.25,0.0084,-1.59493597731424,-0.267636609358674,"effect",1.32729936795557,"inconclusive_clean_evidence",FALSE,TRUE,0,TRUE,TRUE,TRUE,"ok",0,1.11022302462516e-16,4.44089209850063e-16,5000,2000,500,6,1,50926,"PSMA","positive","7011227781d12d21","2fe625a974c914af","4.0.0","0.3.0","SMD","RoBMA4::RoBMA(model_type=PSMA)+brma","20260515T184857_grosso2014_omega3_depression_diagnosis"
