"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.939666666666667,15.5745856353591,5.97716824348023
"Effect","Normal(0, 0.71)","Alternative",0.5,0.0603333333333333,0.0642071656615821,5.97716824348023
"Heterogeneity","Spike(0)","Null",0.5,0.802666666666667,4.06756756756757,2.58362712626904
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.197333333333333,0.245847176079734,2.58362712626904
"Publication Bias","None","Null",0.5,0.3822,0.618646811265782,1.42686213211917
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0197666666666667,0.463801135783997,4.14787717026147
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0135333333333333,0.315536933162127,5.34569632480181
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0325,0.772609819121447,3.25005120125306
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.029,0.68692070030896,3.51588741421283
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0738333333333333,1.83354327874753,2.39899289917144
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0674,1.66223461291014,2.44906258529366
"Publication Bias","PET","Alternative",0.125,0.240266666666667,2.21375921375921,2.21895746216049
"Publication Bias","PEESE","Alternative",0.125,0.1415,1.1537565521258,2.57796218574896
