"stratum","component","median_log10BF","prop_moderate_positive","prop_inconclusive","prop_moderate_negative","n_available"
"caffeine","effect",-0.25340054528882,0.05,0.65,0.3,20
"caffeine","heterogeneity",0.396718603987706,0.5,0.35,0.15,20
"caffeine","bias",0.923416458271392,0.75,0.2,0.05,20
"caffeine","no_bias",-0.923416458271392,0.05,0.2,0.75,20
"creatine","effect",-0.138931016482061,0.176470588235294,0.647058823529412,0.176470588235294,17
"creatine","heterogeneity",0.0236314487961184,0.411764705882353,0.588235294117647,0,17
"creatine","bias",0.345256173643444,0.294117647058824,0.705882352941177,0,17
"creatine","no_bias",-0.345256173643444,0,0.705882352941177,0.294117647058824,17
"diet","effect",-0.262920135224017,0.115384615384615,0.692307692307692,0.192307692307692,26
"diet","heterogeneity",2.73824188988634,0.692307692307692,0.269230769230769,0.0384615384615385,26
"diet","bias",0.454058956487657,0.5,0.5,0,26
"diet","no_bias",-0.454058956487657,0,0.5,0.5,26
"fasting","effect",-0.180801264563542,0.12,0.68,0.2,25
"fasting","heterogeneity",0.691199120398443,0.52,0.48,0,25
"fasting","bias",0.195908894328267,0.36,0.6,0.04,25
"fasting","no_bias",-0.195908894328267,0.04,0.6,0.36,25
"fiber","effect",-0.0361832187683329,0.181818181818182,0.636363636363636,0.181818181818182,22
"fiber","heterogeneity",2.75901073017027,0.727272727272727,0.272727272727273,0,22
"fiber","bias",-0.0437804412467772,0.181818181818182,0.818181818181818,0,22
"fiber","no_bias",0.0437804412467772,0,0.818181818181818,0.181818181818182,22
"omega3","effect",-0.495696017570684,0,0.571428571428571,0.428571428571429,21
"omega3","heterogeneity",0.550262679390968,0.523809523809524,0.142857142857143,0.333333333333333,21
"omega3","bias",0.151255327772701,0.19047619047619,0.80952380952381,0,21
"omega3","no_bias",-0.151255327772701,0,0.80952380952381,0.19047619047619,21
"protein","effect",-0.266746944693403,0,0.80952380952381,0.19047619047619,21
"protein","heterogeneity",-0.22018185686707,0.142857142857143,0.857142857142857,0,21
"protein","bias",0.498699716833449,0.476190476190476,0.523809523809524,0,21
"protein","no_bias",-0.498699716833449,0,0.523809523809524,0.476190476190476,21
"vitamind","effect",-0.652681915686248,0.0869565217391304,0.304347826086957,0.608695652173913,23
"vitamind","heterogeneity",-0.314388583387635,0.347826086956522,0.217391304347826,0.434782608695652,23
"vitamind","bias",0.0750586447369225,0.347826086956522,0.608695652173913,0.0434782608695652,23
"vitamind","no_bias",-0.0750586447369225,0.0434782608695652,0.608695652173913,0.347826086956522,23
"Overall","effect",-0.239356987247754,0.0914285714285714,0.622857142857143,0.285714285714286,175
"Overall","heterogeneity",0.483631144002422,0.491428571428571,0.388571428571429,0.12,175
"Overall","bias",0.311955259132542,0.388571428571429,0.594285714285714,0.0171428571428571,175
"Overall","no_bias",-0.311955259132542,0.0171428571428571,0.594285714285714,0.388571428571429,175
