"stratum","source_article","source_year","outcome_slug","dataset_id","analysis_variant","n_studies","mu_RE","mu_BC","attenuation_pct","shrink50","sign_flip","log10BF_effect","log10BF_het","log10BF_bias","log10BF_no_bias","log10BF_rigor","rigor_direction","rigor_category","rigor_margin","log10BF_rigor_effect","log10BF_rigor_no_effect","ODR","EDR","Soric_FDR","MissingN"
"vitamind","zhang2019",2019,"all_cause_mortality","zhang2019_vitamind_all_cause_mortality","main",48,0.00615823917379009,0.000117536584390967,-98.0913929928021,TRUE,FALSE,-1.74677568598294,-0.985873440673374,-0.571925482410179,0.571925482410179,1.01208488022063,"no_effect","clean_no_effect_supported",2.36624032983888,-1.35415544961825,1.01208488022063,0.04,0.0500000000000001,1,0
"fasting","meng2020",2020,"hdl_cholesterol_excl","meng2020_fasting_hdl_cholesterol_excl","exclusion_sensitivity",34,0.0169736209506519,0.00120887115263119,-92.8779418596315,TRUE,FALSE,-0.840090188952865,Inf,-0.780486445509307,0.780486445509307,0.95787889832336,"no_effect","clean_no_effect_supported",1.40572098831485,-0.44784208999149,0.95787889832336,0.24,0.280830618363464,0.1347823835391,0
"fiber","gupta2025",2025,"ldl_cholesterol","gupta2025_fiber_ldl_cholesterol","main",31,0.386338821420019,0.340633042496928,-11.8304908512936,FALSE,FALSE,1.0698258451769,Inf,-0.455839827882243,0.455839827882243,0.93085308850998,"effect","clean_effect_supported",3.48328952637416,0.93085308850998,-2.55243643786418,0.35,0.419198609575176,0.0729212681880452,0
"caffeine","cai2012",2012,"hdl_cholesterol","cai2012_caffeine_hdl_cholesterol","main",17,-0.00420387613965263,-0.000915347308094271,78.226111386576,TRUE,FALSE,-1.18205655229251,-0.603055934662869,-0.520442172433786,0.520442172433786,0.895950738851592,"no_effect","clean_no_effect_supported",1.75343169597485,-0.85748095712326,0.895950738851592,0.06,0.0500000000000001,1,0
"vitamind","reid2014",2014,"lumbar_bone_mineral_density","reid2014_vitamind_lumbar_bone_mineral_density","main",17,0.00361968907359358,-0.000133628655395319,-103.691716406533,TRUE,TRUE,-1.24977214811065,-0.743303698498425,-0.487451453569284,0.487451453569284,0.879356870082432,"no_effect","clean_no_effect_supported",1.80404572021607,-0.924688850133639,0.879356870082432,0.06,0.0500000000000001,1,0
"fiber","post2012",2012,"fasting_glucose","post2012_fiber_fasting_glucose","main",13,0.444610736027703,0.386437547795003,-13.0840718675483,FALSE,FALSE,1.00923638426449,-0.29680246077374,-0.351962979462649,0.351962979462649,0.825759770311769,"effect","clean_effect_supported",3.13485376269733,0.825759770311769,-2.30909399238556,0.23,0.228032098569224,0.178176185742989,0
"fasting","khalafi2025",2025,"alanine_aminotransferase","khalafi2025_fasting_alanine_aminotransferase","main",20,0.424390567878211,0.392474278173276,-7.52049930433283,FALSE,FALSE,1.44131728745243,-0.285358209597174,-0.326095564250101,0.326095564250101,0.803017460057761,"effect","clean_effect_supported",4.32585277371829,0.803017460057761,-3.52283531366053,0.3,0.281138755674861,0.1345769715977,0
"vitamind","beveridge2015",2015,"systolic_blood_pressure","beveridge2015_vitamind_systolic_blood_pressure","main",46,0.00817968828929878,-5.85770262489552e-05,-100.716127854476,TRUE,TRUE,-1.32109833869964,-0.590926388193413,-0.36220150760992,0.36220150760992,0.77789069974175,"no_effect","clean_no_effect_supported",1.80057601986353,-1.02268532012178,0.77789069974175,0.09,0.0500000000000001,1,0
"vitamind","macpherson2013",2013,"all_cause_mortality","macpherson2013_vitamind_all_cause_mortality","main",21,0.0169992090609568,0.000240997738380478,-98.5823002851704,TRUE,FALSE,-1.61047629205458,-0.946417459681484,-0.323042318376035,0.323042318376035,0.765896090456758,"no_effect","clean_no_effect_supported",2.03891209660412,-1.27301600614736,0.765896090456758,0,0.0500000000000001,1,0
"omega3","abdelhamid2018",2018,"cardiovascular_events","abdelhamid2018_omega3_cardiovascular_events","main",43,0.020609159125681,0.00102043979454794,-95.0486102401123,TRUE,FALSE,-1.23674315447596,0.963816718142311,-0.34647266599927,0.34647266599927,0.739237023211254,"no_effect","clean_no_effect_supported",1.60920759151703,-0.869970568305772,0.739237023211254,0.12,0.142027960226415,0.317940376486767,0
"omega3","abdelhamid2018",2018,"stroke","abdelhamid2018_omega3_stroke","main",31,0.0147984111604458,-9.83267420221138e-06,-100.066444120897,TRUE,TRUE,-1.51364751187329,-0.72807119506275,-0.294272434714605,0.294272434714605,0.734746565871728,"no_effect","clean_no_effect_supported",1.96821667843835,-1.23347011256662,0.734746565871728,0.06,0.0500000000000001,1,0
"vitamind","rakshasbhuvankar2021",2021,"mortality","rakshasbhuvankar2021_vitamind_mortality","main",12,0.00839497856687684,-0.0015974741818042,-119.028925077989,TRUE,TRUE,-1.00692423938887,-0.63958331050056,-0.365360379652676,0.365360379652676,0.732285672594461,"no_effect","clean_no_effect_supported",1.48249637983116,-0.750210707236699,0.732285672594461,0,0.0500000000000001,1,0
"fiber","jovanovski2019",2019,"hba1c","jovanovski2019_fiber_hba1c","main",19,0.63556578937061,0.51278460217575,-19.3184071969085,FALSE,FALSE,0.849615753196874,Inf,-0.265921144544018,0.265921144544018,0.729451117960935,"effect","clean_effect_supported",2.39388900776054,0.729451117960935,-1.6644378897996,0.42,0.560194414332664,0.0413207661975323,0
"fiber","gupta2025",2025,"total_cholesterol_excl","gupta2025_fiber_total_cholesterol_excl","exclusion_sensitivity",35,0.361822464188378,0.297777675621176,-17.7006114617189,FALSE,FALSE,0.907258461372269,1.82925970215445,-0.240605784101467,0.240605784101467,0.717664575975083,"effect","clean_effect_supported",4.71765009925107,0.717664575975083,-3.99998552327599,0.37,0.35155707615877,0.0970783331760481,0
"fasting","gu2022",2022,"fat_free_mass","gu2022_fasting_fat_free_mass","main",15,0.0746570466808768,0.0132923961250896,-82.1953898311726,TRUE,FALSE,-0.708419169191642,-0.279062974738193,-0.483864551738585,0.483864551738585,0.691204634303766,"no_effect","clean_no_effect_supported",1.03165025033722,-0.340445616033456,0.691204634303766,0.07,0.0500000000000001,1,0
"vitamind","bjelakovic2014",2014,"all_cause_mortality","bjelakovic2014_vitamind_all_cause_mortality","main",56,0.0189769281157045,0.00144304873968651,-92.3957727463155,TRUE,FALSE,-1.0368641571323,-0.832917547918843,-0.330022999186575,0.330022999186575,0.673395595292029,"no_effect","clean_no_effect_supported",1.31810503179317,-0.644709436501146,0.673395595292029,0.04,0.0500000000000001,0.999999999999999,0
"diet","zare2024",2024,"nns_insulin_concentration","zare2024_diet_nns_insulin_concentration","main",15,0.0173780662448962,0.000362070047450736,-97.9165112944769,TRUE,FALSE,-0.944834234907919,0.690787252356302,-0.324567982881773,0.324567982881773,0.668771609397595,"no_effect","clean_no_effect_supported",1.31481293915615,-0.646041329758551,0.668771609397595,0.2,0.134749303428302,0.337957297193776,0
"vitamind","chen2024",2024,"hba1c","chen2024_vitamind_hba1c","main",36,0.312339927580458,0.222284416846551,-28.8325323731494,FALSE,FALSE,0.536455309411568,4.4771067779957,-0.171030337171407,0.171030337171407,0.646647591237323,"effect","clean_effect_supported",3.24834551961651,0.646647591237323,-2.60169792837919,0.28,0.346039502711987,0.0994654465957898,0
"fasting","khalafi2025",2025,"aspartate_aminotransferase","khalafi2025_fasting_aspartate_aminotransferase","main",18,0.296765697067484,0.231303478788384,-22.0585529008139,FALSE,FALSE,0.614195224677158,0.455312368149417,-0.237485598409695,0.237485598409695,0.638902671584297,"effect","clean_effect_supported",1.52714861341324,0.638902671584297,-0.888245941828947,0.28,0.217212679065097,0.189672780030123,0
"diet","greyling2020",2020,"nns_postprandial_glucose","greyling2020_diet_nns_postprandial_glucose","main",55,0.0193822625230415,-0.0230014866965217,-218.672867366117,FALSE,TRUE,-0.639774144900055,2.61274032351738,-0.262876058445124,0.262876058445124,0.632856581022656,"no_effect","clean_no_effect_supported",1.36503520664171,-0.732178625619056,0.632856581022656,0.18,0.172036395635593,0.253301236963971,0
"fasting","vieira2016",2016,"fat_oxidation","vieira2016_fasting_fat_oxidation","main",13,0.524249408414265,0.414278350567839,-20.9768587396338,FALSE,FALSE,0.801990047875464,-0.332492545957994,-0.146544991769377,0.146544991769377,0.623606677241131,"effect","clean_effect_supported",4.62359220051712,0.623606677241131,-3.99998552327599,0.38,0.366161084375958,0.0911072868402995,0
"fasting","fernando2019",2019,"bmi","fernando2019_fasting_bmi","main",23,0.255706596351521,0.178736656788244,-30.1008815030591,FALSE,FALSE,0.492152805786159,3.27276958655172,-0.120280835543028,0.120280835543028,0.589267110628773,"effect","clean_effect_supported",2.44738566063554,0.589267110628773,-1.85811855000677,0.26,0.327133419711747,0.108255618080993,0
"fiber","whelton2005",2005,"systolic_bp","whelton2005_fiber_systolic_bp","main",25,0.122845172321094,0.0234389451808459,-80.9199297473563,TRUE,FALSE,-0.535129229393987,Inf,-0.40508917601691,0.40508917601691,0.539186015059044,"no_effect","clean_no_effect_supported",0.714843921475483,-0.175657906416439,0.539186015059044,0.12,0.327407167355217,0.108121099102285,0
"vitamind","juraschek2012",2012,"systolic_blood_pressure","juraschek2012_vitamind_systolic_blood_pressure","main",31,0.41398303113723,0.28594319782636,-30.9287636643316,FALSE,FALSE,0.536538263285563,Inf,-0.0597952967649472,0.0597952967649472,0.536102072644986,"effect","clean_effect_supported",3.38977131890397,0.536102072644986,-2.85366924625898,0.42,0.41116549490053,0.0753742474173372,0
"vitamind","autier2007",2007,"total_mortality","autier2007_vitamind_total_mortality","main",18,0.0380320783556519,0.00956037195368983,-74.8623468213141,TRUE,FALSE,-0.506096738041852,-0.774111272581904,-0.442967144004616,0.442967144004616,0.535636702750124,"no_effect","clean_no_effect_supported",0.656965323126604,-0.12132862037648,0.535636702750124,0.06,0.0500000000000001,1,0
"creatine","fernandezlanda2023",2023,"endurance_performance","fernandezlanda2023_creatine_endurance_performance","main",13,0.0694910808166396,0.00647564586597305,-90.681328035378,TRUE,FALSE,-0.742410504464504,-0.317882425546632,-0.236675331856339,0.236675331856339,0.535055037517383,"no_effect","clean_no_effect_supported",1.01378717866074,-0.478732141143359,0.535055037517383,0.15,0.0500000000000001,1,0
"creatine","devries2014",2014,"total_body_mass","devries2014_creatine_total_body_mass","main",9,0.637901464514499,0.465066623416459,-27.0942850444125,FALSE,FALSE,0.633504142705775,0.892970704192321,-0.0773344011242343,0.0773344011242343,0.523199646901875,"effect","clean_effect_supported",1.78538107224494,0.523199646901875,-1.26218142534306,0.44,0.345219219012894,0.0998268487204961,0
"fasting","wang2020",2020,"c_reactive_protein_excl","wang2020_fasting_c_reactive_protein_excl","exclusion_sensitivity",16,0.134838091534879,0.0344302276715174,-74.4655035683212,TRUE,FALSE,-0.421005312740731,1.05873465790432,-0.437557726400144,0.437557726400144,0.500289119771688,"no_effect","clean_no_effect_supported",0.574867119898329,-0.0745780001266414,0.500289119771688,0.12,0.141156917752226,0.320227079426111,0
"fasting","gu2022",2022,"total_cholesterol","gu2022_fasting_total_cholesterol","main",19,0.0924427231268106,0.0235748206860636,-74.4979162354139,TRUE,FALSE,-0.507295999681743,0.133945896963992,-0.348909536002968,0.348909536002968,0.494147778936852,"no_effect","inconclusive_clean_evidence",0.672924883289999,-0.178777104353147,0.494147778936852,0.11,0.0708512305944272,0.690214784292542,0
"protein","finger2015",2015,"muscle_mass","finger2015_protein_muscle_mass","main",10,0.121706942187328,0.0243210178340414,-80.016737421102,TRUE,FALSE,-0.531493904600731,-0.373159358512549,-0.309526622219018,0.309526622219018,0.477816126038947,"no_effect","inconclusive_clean_evidence",0.687479875515779,-0.209663749476832,0.477816126038947,0,0.0500000000000001,1,0
"fiber","jovanovski2019",2019,"fasting_glucose","jovanovski2019_fiber_fasting_glucose","main",27,0.509204974354105,0.31374858199484,-38.3846195939443,FALSE,FALSE,0.382132574865636,Inf,-0.0643350702005779,0.0643350702005779,0.464381036343915,"effect","inconclusive_clean_evidence",1.32117764140994,0.464381036343915,-0.856796605066024,0.44,0.565082985019048,0.0405079781568798,0
"omega3","brown2019",2019,"fasting_glucose","brown2019_omega3_fasting_glucose","main",34,0.0191050981441897,0.00942747887468244,-50.6546430511295,TRUE,FALSE,-0.368183611892419,0.294661355543658,-0.447213043627036,0.447213043627036,0.46264343135104,"no_effect","inconclusive_clean_evidence",0.473833602277894,-0.0111901709268539,0.46264343135104,0.09,0.0845568507415563,0.569808572118494,0
"fiber","gupta2025",2025,"hdl_cholesterol","gupta2025_fiber_hdl_cholesterol","main",34,0.311129501406727,0.174747251743196,-43.8345605437281,FALSE,FALSE,0.225992060011049,Inf,-0.110674259611928,0.110674259611928,0.450708011526137,"effect","inconclusive_clean_evidence",1.04281234803295,0.450708011526137,-0.592104336506815,0.29,0.489532262149536,0.0548824359950228,0
"creatine","doma2022",2022,"24h_post_protocol","doma2022_creatine_24h_post_protocol","main",15,0.0658290986231226,-0.00238694599744544,-103.625973995347,TRUE,TRUE,-0.478125538222242,3.02955769258384,-0.240668249374426,0.240668249374426,0.445490641732181,"no_effect","inconclusive_clean_evidence",0.710556791929798,-0.265066150197617,0.445490641732181,0.4,0.282297824192557,0.133808325082953,0
"fasting","dai2025",2025,"fat_mass","dai2025_fasting_fat_mass","main",10,0.335978244135623,0.205498269798875,-38.8358403004445,FALSE,FALSE,0.336441124043513,-0.141426963629756,-0.0401573975935689,0.0401573975935689,0.434990633724972,"effect","inconclusive_clean_evidence",1.2616432590772,0.434990633724972,-0.826652625352232,0.2,0.129078741165632,0.355116278064494,0
"diet","shannon2020",2020,"endothelial_function","shannon2020_diet_endothelial_function","main",18,0.333421787334839,0.205547854478494,-38.3520026925918,FALSE,FALSE,0.375725331279182,4.4771067779957,0.0355161161050296,-0.0355161161050296,0.424420187784349,"effect","inconclusive_clean_evidence",1.94882215822385,0.424420187784349,-1.5244019704395,0.33,0.390558311841407,0.0821282696753673,0
"fiber","khan2018",2018,"diastolic_bp","khan2018_fiber_diastolic_bp","main",23,0.0769380445733482,-0.0124148860645545,-116.136212108587,TRUE,TRUE,-0.584185267558258,2.13952927205941,-0.0983369320772576,0.0983369320772576,0.418140436794339,"no_effect","inconclusive_clean_evidence",0.944405884669438,-0.526265447875099,0.418140436794339,0.17,0.247592120120073,0.15994214481683,0
"omega3","khorshidi2022",2022,"triglycerides","khorshidi2022_omega3_triglycerides","main",14,0.338563354797829,0.187818488750754,-44.5248618643596,FALSE,FALSE,0.209538427275158,Inf,-0.163700220611672,0.163700220611672,0.403929128437531,"effect","inconclusive_clean_evidence",0.73287069020164,0.403929128437531,-0.328941561764109,0.29,0.423604348283642,0.0716154434497995,0
"omega3","wang2012",2012,"flow_mediated_dilation","wang2012_omega3_flow_mediated_dilation","main",16,0.507071017030725,0.290551369862535,-42.7000636786682,FALSE,FALSE,0.312283811679052,Inf,-0.0166789578169355,0.0166789578169355,0.385757662669381,"effect","inconclusive_clean_evidence",1.08844755683053,0.385757662669381,-0.702689894161148,0.5,0.52107975375332,0.0483732644926233,0
"fasting","meng2020",2020,"total_cholesterol","meng2020_fasting_total_cholesterol","main",33,0.474731477563947,0.262187600302848,-44.771389154929,FALSE,FALSE,0.302855312895136,Inf,0.108673900666785,-0.108673900666785,0.367094296838738,"effect","inconclusive_clean_evidence",3.00503337401876,0.367094296838738,-2.63793907718002,0.27,0.382015691794209,0.0851417640799392,0
"diet","greyling2020",2020,"nns_postprandial_insulin","greyling2020_diet_nns_postprandial_insulin","main",50,0.0267948554600048,-0.003669595818297,-113.695150637309,TRUE,TRUE,-0.929710235606872,1.27875360095283,0.0256597894419238,-0.0256597894419238,0.361028337552906,"no_effect","inconclusive_clean_evidence",1.14765765539404,-0.786629317841136,0.361028337552906,0.3,0.184250468437937,0.233020769334663,0
"fiber","whelton2005",2005,"diastolic_bp","whelton2005_fiber_diastolic_bp","main",25,0.218336461664871,0.109369652595835,-49.9077470790432,FALSE,FALSE,0.107380162895417,2.94514985814007,-0.0232258122929766,0.0232258122929766,0.358610629077046,"effect","inconclusive_clean_evidence",0.935348405622018,0.358610629077046,-0.576737776544972,0.2,0.287388859132831,0.130505579210007,0
"vitamind","yao2019",2019,"any_fracture","yao2019_vitamind_any_fracture","main",11,0.0333276111787178,0.00149224380992564,-95.5224999417944,TRUE,FALSE,-1.21194951066925,-0.459313698943571,0.0750586447369225,-0.0750586447369225,0.341039968603157,"no_effect","inconclusive_clean_evidence",1.30954990957339,-0.968509940970234,0.341039968603157,0.18,0.0500000000000001,1,0
"diet","saneei2014",2014,"diastolic_blood_pressure","saneei2014_diet_diastolic_blood_pressure","main",22,0.613783232797112,0.501086519508681,-18.3609957500555,FALSE,FALSE,1.20903570145681,Inf,0.175910310558458,-0.175910310558458,0.301210944161205,"effect","inconclusive_clean_evidence",Inf,0.301210944161205,-Inf,0.73,0.587206631631327,0.0369988443355406,0
"vitamind","mayowilson2011",2011,"diarrhoea_incidence","mayowilson2011_vitamind_diarrhoea_incidence","main",12,0.0895729139154771,0.0154691643016786,-82.7300870034488,TRUE,FALSE,-0.604143985455107,Inf,-0.0601443911836235,0.0601443911836235,0.300125026630748,"no_effect","inconclusive_clean_evidence",0.629438224481032,-0.329313197850284,0.300125026630748,0.42,0.57656236884132,0.0386535651962364,0
"fiber","gupta2025",2025,"triglycerides_excl","gupta2025_fiber_triglycerides_excl","exclusion_sensitivity",35,0.331260805492803,0.149611133133626,-54.8358481737507,TRUE,FALSE,0.04753024831461,Inf,-0.117920773747873,0.117920773747873,0.293537390136521,"effect","inconclusive_clean_evidence",0.500138942125587,0.293537390136521,-0.206601551989066,0.26,0.597828286459112,0.0354063746838142,0
"diet","bueno2013",2013,"body_weight","bueno2013_diet_body_weight","main",13,0.158660797552857,0.0813327487640782,-48.7379680308347,FALSE,FALSE,0.106322002905129,-0.419119312126893,0.0580501116769782,-0.0580501116769782,0.283342775772772,"effect","inconclusive_clean_evidence",0.88881728452005,0.283342775772772,-0.605474508747278,0.15,0.0907134985072097,0.527564114755475,0
"omega3","kotwal2012",2012,"cardiovascular_outcomes","kotwal2012_omega3_cardiovascular_outcomes","main",12,0.0206974354322907,0.000647532910081653,-96.8714340856384,TRUE,FALSE,-1.33769402121056,-0.458632971093637,0.151255327772701,-0.151255327772701,0.280420473808655,"no_effect","inconclusive_clean_evidence",1.39199434887776,-1.11157387506911,0.280420473808655,0.17,0.0500000000000001,1,0
"omega3","liao2019",2019,"depression","liao2019_omega3_depression","main",32,0.268269340125373,0.120854419901613,-54.9503421281266,TRUE,FALSE,0.0413180657750484,Inf,0.0264132431935259,-0.0264132431935259,0.279262522115967,"effect","inconclusive_clean_evidence",0.772215442897843,0.279262522115967,-0.492952920781876,0.25,0.336046729035792,0.103988243244249,0
"diet","saneei2014",2014,"systolic_blood_pressure","saneei2014_diet_systolic_blood_pressure","main",22,0.745758336607132,0.5997369604154,-19.5802539541246,FALSE,FALSE,1.17584425522027,4.4771067779957,0.222775491993954,-0.222775491993954,0.254345762725709,"effect","inconclusive_clean_evidence",Inf,0.254345762725709,-Inf,0.73,0.665183606166186,0.0264918067766291,0
"creatine","desai2024",2024,"lean_body_mass","desai2024_creatine_lean_body_mass","main",12,0.803960240629376,0.504920979814267,-37.1957773161777,FALSE,FALSE,0.554071214772856,-0.0602607602954236,0.237672640242313,-0.237672640242313,0.239386262420696,"effect","inconclusive_clean_evidence",4.23937178569669,0.239386262420696,-3.99998552327599,0.5,0.352756035637731,0.0965694944919923,0
"omega3","su2018",2018,"anxiety","su2018_omega3_anxiety","main",19,0.355719613868356,0.158981473465597,-55.3070825258366,TRUE,FALSE,0.0706850505036993,Inf,0.0529916696687482,-0.0529916696687482,0.229253105351514,"effect","inconclusive_clean_evidence",0.666973142301417,0.229253105351514,-0.437720036949903,0.32,0.514776641654451,0.0496100044686968,0
"fasting","gu2022",2022,"fat_mass","gu2022_fasting_fat_mass","main",17,0.138561302301437,0.0463222191112344,-66.5691514572651,TRUE,FALSE,-0.272413165440891,-0.333027175666122,-0.24536011938328,0.24536011938328,0.228374345170377,"no_effect","inconclusive_clean_evidence",0.167911618680797,0.0604627264895802,0.228374345170377,0,0.0527944973329338,0.944282523968428,0
"fasting","gu2022",2022,"triglycerides","gu2022_fasting_triglycerides","main",19,0.222752616499198,0.0987195298053482,-55.6819886756735,TRUE,FALSE,0.064335070200578,-0.266683405017898,0.195908894328267,-0.195908894328267,0.227432265921857,"effect","inconclusive_clean_evidence",1.27513224321125,0.227432265921857,-1.04769997728939,0.05,0.0805574558125565,0.600710549023509,0
"omega3","wang2012",2012,"endothelium_independent_vasodilation","wang2012_omega3_endothelium_independent_vasodilation","main",12,0.135450822639357,-0.0100263433496671,-107.402201887221,TRUE,TRUE,-0.495696017570684,0.630107775889911,0.0683539424473141,-0.0683539424473141,0.227306612186854,"no_effect","inconclusive_clean_evidence",0.701060480327033,-0.473753868140179,0.227306612186854,0.17,0.178876212532308,0.24160306735729,0
"omega3","abdelhamid2018",2018,"coronary_heart_disease_events","abdelhamid2018_omega3_coronary_heart_disease_events","main",32,0.0531451128548076,0.0119648790045164,-77.486398350109,TRUE,FALSE,-0.497829119189152,1.60371003139164,-0.088027627238523,0.088027627238523,0.221956836844864,"no_effect","inconclusive_clean_evidence",0.365315785039613,-0.143358948194749,0.221956836844864,0.09,0.16066103014778,0.274962355887682,0
"diet","li2025",2025,"nns_body_weight","li2025_diet_nns_body_weight","main",19,0.156731631981386,0.0252106879538473,-83.9147416286449,TRUE,FALSE,-0.489798879709786,Inf,-0.020270755123077,0.020270755123077,0.221452363984712,"no_effect","inconclusive_clean_evidence",0.481740970650746,-0.260288606666034,0.221452363984712,0.37,0.365451018706868,0.0913865691929636,0
"fiber","jovanovski2019",2019,"homa_ir_excl","jovanovski2019_fiber_homa_ir_excl","exclusion_sensitivity",9,0.355692884366556,0.167855522641722,-52.808861234137,TRUE,FALSE,0.159864172873913,0.164540192995108,0.202436395186309,-0.202436395186309,0.210946067541985,"effect","inconclusive_clean_evidence",1.18556328915249,0.210946067541985,-0.974617221610509,0.22,0.184023391776709,0.233373252560409,0
"omega3","rizos2012",2012,"all_cause_mortality","rizos2012_omega3_all_cause_mortality","main",17,0.0228509087677705,0.00124729164869089,-94.5416103080762,TRUE,FALSE,-1.19241650100242,-0.609334775862867,0.208557221246438,-0.208557221246438,0.205409617105087,"no_effect","inconclusive_clean_evidence",1.18577044105344,-0.980360823948353,0.205409617105087,0.06,0.0500000000000001,1,0
"vitamind","juraschek2012",2012,"diastolic_blood_pressure","juraschek2012_vitamind_diastolic_blood_pressure","main",29,0.190297620786404,0.0571201192609865,-69.9837974721187,TRUE,FALSE,-0.264017227253598,Inf,-0.194630368524786,0.194630368524786,0.194464513207799,"no_effect","inconclusive_clean_evidence",0.155048769890697,0.039415743317102,0.194464513207799,0.38,0.365207670709172,0.0914825324731768,0
"fiber","silva2013",2013,"hba1c","silva2013_fiber_hba1c","main",13,0.368646825714686,0.157771955054764,-57.2024105323854,TRUE,FALSE,-0.0205025064699968,Inf,-0.208495913232357,0.208495913232357,0.19298579528695,"effect","inconclusive_clean_evidence",0.135273767417828,0.19298579528695,0.0577120278691221,0.54,0.521735205397071,0.0482463729540415,0
"protein","schoenfeld2017",2017,"muscle_size","schoenfeld2017_protein_muscle_size","main",23,0.389216300894565,0.146293402713421,-62.4133412765128,TRUE,FALSE,0.0845773335857887,0.283813863941554,0.305728879815881,-0.305728879815881,0.167463473812259,"effect","inconclusive_clean_evidence",2.38844276471599,0.167463473812259,-2.22097929090373,0.09,0.137562139435552,0.329970636889233,0
