"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.457033333333333,0.841733685309104,4.06207888376828
"Effect","Normal(0, 0.71)","Alternative",0.5,0.542966666666667,1.18802421413464,4.06207888376828
"Heterogeneity","Spike(0)","Null",0.5,0.610933333333333,1.57025359835504,1.59526001274236
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.389066666666667,0.636839807944129,1.59526001274236
"Publication Bias","None","Null",0.5,0.2408,0.317175974710221,4.20737683631344
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0138,0.321841411478402,5.4951897267573
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0056,0.129525341914722,8.5015977674683
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.00866666666666667,0.201075991930061,7.26650666251914
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0065,0.15047810770005,7.62482576150197
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.116666666666667,3.0377358490566,3.21119406377418
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.1425,3.82215743440233,3.35803655833229
"Publication Bias","PET","Alternative",0.125,0.2426,2.24214417744917,3.65534615861833
"Publication Bias","PEESE","Alternative",0.125,0.222866666666667,2.00746332675646,3.78220171421726
