"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.729866666666667,2.70187561697927,2.73300206786743
"Effect","Normal(0, 0.71)","Alternative",0.5,0.270133333333333,0.370113262696383,2.73300206786743
"Heterogeneity","Spike(0)","Null",0.5,0.692366666666667,2.25062303608192,1.65719064594784
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.307633333333333,0.444321409657696,1.65719064594784
"Publication Bias","None","Null",0.5,0.146,0.17096018735363,3.13478937807002
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.00616666666666667,0.142713399295657,7.92716681774341
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.00333333333333333,0.0769230769230769,10.4635194191262
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0067,0.155139434209202,7.54053715093897
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0038,0.0877333868701064,9.73914836680253
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.423366666666667,16.8866986531013,2.85651379541446
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.3354,11.6072825759856,2.99604258731587
"Publication Bias","PET","Alternative",0.125,0.0532,0.39332488381918,3.52995051558609
"Publication Bias","PEESE","Alternative",0.125,0.0220333333333333,0.157708170012611,4.9803355720995
