"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.7344,2.76506024096386,3.73757887912852
"Effect","Normal(0, 0.71)","Alternative",0.5,0.2656,0.361655773420479,3.73757887912852
"Heterogeneity","Spike(0)","Null",0.5,0.493133333333333,0.97290543206629,1.6599460688383
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.506866666666667,1.02784912802487,1.6599460688383
"Publication Bias","None","Null",0.5,0.0092,0.00928542591844974,16.2089648460048
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.00293333333333333,0.0676651511099224,17.7075721155666
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.00156666666666667,0.0360898741361466,18.0602841017063
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.00183333333333333,0.0422441142093839,18.5044250343669
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0039,0.0900511996787471,16.3485563037222
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.00266666666666667,0.0614973262032086,16.0460396114606
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0057,0.131851553856985,14.4204552892057
"Publication Bias","PET","Alternative",0.125,0.226733333333333,2.05250452625226,6.10876976763137
"Publication Bias","PEESE","Alternative",0.125,0.745466666666667,20.5013095861708,6.44087460676991
