"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.738366666666667,2.82214294814626,2.58914442699528
"Effect","Normal(0, 0.71)","Alternative",0.5,0.261633333333333,0.354340661821137,2.58914442699529
"Heterogeneity","Spike(0)","Null",0.5,0.6241,1.66028198989093,1.53633385804699
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.3759,0.602307322544464,1.53633385804699
"Publication Bias","None","Null",0.5,0.270733333333333,0.371240515586434,1.88120821978456
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0092,0.213564796124344,6.50708491336508
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.00976666666666667,0.22684889083381,6.02425521596551
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0303,0.718675879137878,3.43013923232007
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0205666666666667,0.482966341081578,4.11540195515479
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.265133333333333,8.29819468384287,1.80950084816669
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.198433333333333,5.69380795941282,1.95581536842542
"Publication Bias","PET","Alternative",0.125,0.142133333333333,1.15977618899596,2.37009434418844
"Publication Bias","PEESE","Alternative",0.125,0.0537333333333333,0.397491897985064,3.72324210648087
