"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.4139,0.706193482340898,2.78312242512452
"Effect","Normal(0, 0.71)","Alternative",0.5,0.5861,1.41604252234839,2.78312242512452
"Heterogeneity","Spike(0)","Null",0.5,0.0495666666666667,0.0521516501245046,3.48026306907152
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.950433333333333,19.1748486886348,3.48026306907152
"Publication Bias","None","Null",0.5,0.3883,0.634788294915808,1.98488603187834
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0516666666666667,1.2530755711775,2.92961723710232
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0311666666666667,0.739893342508171,3.69765973143103
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0606333333333333,1.48458181043966,2.59040909639861
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.1191,3.10966057441253,2.38521929106123
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0471,1.13684541924651,2.99369801506062
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0783333333333333,1.95479204339964,2.66651495879649
"Publication Bias","PET","Alternative",0.125,0.153866666666667,1.27292782855342,2.49385639743232
"Publication Bias","PEESE","Alternative",0.125,0.0698333333333333,0.52553305859165,3.22096353425593
