"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.666,1.9940119760479,4.41383576787385
"Effect","Normal(0, 0.71)","Alternative",0.5,0.334,0.501501501501502,4.41383576787385
"Heterogeneity","Spike(0)","Null",0.5,0.556766666666667,1.25614800330902,1.64151652703154
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.443233333333333,0.796084535712148,1.64151652703154
"Publication Bias","None","Null",0.5,0.177666666666667,0.216051884880422,4.71993742570004
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0238333333333333,0.561550281714188,4.85075575145694
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0124666666666667,0.290353068250861,6.01429047516933
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0120333333333333,0.280137656466143,5.53235701089585
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0181666666666667,0.425564420302156,4.85549664355072
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.1162,3.02398732744965,2.58085674683629
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.173933333333333,4.84278912113631,2.58074050822218
"Publication Bias","PET","Alternative",0.125,0.281566666666667,2.74342318934719,3.22756973518237
"Publication Bias","PEESE","Alternative",0.125,0.184133333333333,1.57983330609577,3.27092076184915
