"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.816033333333333,4.43576734915746,3.82768555128163
"Effect","Normal(0, 0.71)","Alternative",0.5,0.183966666666667,0.225440137249295,3.82768555128163
"Heterogeneity","Spike(0)","Null",0.5,0.7349,2.77216144851,1.80282694745816
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.2651,0.3607293509321,1.80282694745816
"Publication Bias","None","Null",0.5,0.121066666666667,0.137742718446602,2.83932590839744
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0209666666666667,0.492560689115114,4.44902745233846
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0186333333333333,0.436703916307191,4.64326706562432
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.120366666666667,3.14725832733336,2.24154435448447
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.154266666666667,4.19533343843607,2.0620700857665
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.1615,4.42993440667859,2.31216837619388
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.2418,7.33500395673965,2.15681669949876
"Publication Bias","PET","Alternative",0.125,0.0892666666666667,0.686113754483566,4.53078033958021
"Publication Bias","PEESE","Alternative",0.125,0.0721333333333333,0.544187383244719,4.03492099662816
