"topic","author","effect","measure","effect_direction","basename","out_dir","n_studies","mu_RE","tau_RE","mu_RE_lCI","mu_RE_uCI","eff_prior_RE","eff_post_RE","eff_bf_RE","het_prior_RE","het_post_RE","het_bf_RE","mu_BC","tau_BC","mu_BC_lCI","mu_BC_uCI","eff_prior_BC","eff_post_BC","eff_bf_BC","het_prior_BC","het_post_BC","het_bf_BC","bias_prior_BC","bias_post_BC","bias_bf_BC","algorithm","sample","burnin","adapt","chains","parallel","seed","timestamp"
"protein","cermak2012","lean_body_mass","SMD_g","positive","cermak2012_protein_lean_body_mass","output/protein/cermak2012",22,0.419594148152671,0.145182693657985,0.250916205426872,0.589241299327646,1,1,Inf,1,1,Inf,0.142229969108927,0.0573498640718436,-0.0133230657786501,0.50694981980614,0.5,0.49734,0.989416305256038,0.5,0.3949,0.652619401751777,0.5,0.83228,4.96231814929645,"ss",10000,10000,10000,5,TRUE,1,"2026-04-25T14:28:51-0500"
"protein","cermak2012","leg_press_strength","SMD_g","positive","cermak2012_protein_leg_press_strength","output/protein/cermak2012",13,0.440871718602411,0.138665456434294,0.219542400476084,0.663722229554095,1,1,Inf,1,1,Inf,0.146814712692723,0.0615449722403629,-0.167344696776415,0.576174273787919,0.5,0.4901,0.961168856638557,0.5,0.37514,0.600358480299587,0.5,0.77378,3.42047564317921,"ss",10000,10000,10000,5,TRUE,1,"2026-04-25T14:29:15-0500"
"protein","finger2015","lean_body_mass","SMD_g","positive","finger2015_protein_lean_body_mass","output/protein/finger2015",10,0.223742756515028,0.105541622376284,0.0226243119024918,0.422544719316226,1,1,Inf,1,1,Inf,0.0212132845117684,0.0378588120596199,-0.104033691160616,0.286862838755284,0.5,0.20772,0.262180037360529,0.5,0.31132,0.452053203229366,0.5,0.87482,6.98849656494648,"ss",10000,10000,10000,5,TRUE,1,"2026-04-25T14:29:42-0500"
"protein","finger2015","muscle_mass","SMD_g","positive","finger2015_protein_muscle_mass","output/protein/finger2015",10,0.124253227305921,0.11794198363002,-0.0791665314051517,0.325342430909987,1,1,Inf,1,1,Inf,0.018447529221529,0.0361483622046175,0,0.21749789054353,0.5,0.16942,0.203977943124082,0.5,0.29924,0.427022090301958,0.5,0.33562,0.505162708088744,"ss",10000,10000,10000,5,TRUE,1,"2026-04-25T14:30:00-0500"
"protein","liao2017","lean_body_mass_excl","SMD_g","positive","liao2017_protein_lean_body_mass_excl","output/protein/liao2017",15,0.435898672999353,0.279248953329064,0.224602937668903,0.662842308086529,1,1,Inf,1,1,Inf,0.0208160179031808,0.135207242244432,-0.396091423083861,0.475182798276746,0.5,0.26646,0.363252174387218,0.5,0.6555,1.90275761973875,0.5,0.93876,15.3291966035271,"ss",10000,10000,10000,5,TRUE,1,"2026-04-25T14:30:18-0500"
"protein","liao2017","leg_strength","SMD_g","positive","liao2017_protein_leg_strength","output/protein/liao2017",14,0.645948900031359,0.413352107652263,0.363660194361199,0.961002733573306,1,1,Inf,1,1,Inf,-0.0187249732983553,0.0856709834621675,-0.509465583883627,0.243933512394165,0.5,0.2064,0.26008064516129,0.5,0.46962,0.885440627474641,0.5,0.9961,255.410256410256,"ss",10000,10000,10000,5,TRUE,1,"2026-04-25T14:30:36-0500"
"protein","milne2006","complications","SMD_g","positive","milne2006_protein_complications","output/protein/milne2006",10,0.187821570377806,0.139660446687914,-0.0217895179604844,0.402661595200985,1,1,Inf,1,1,Inf,0.0230659771856784,0.0524253131402188,-0.0422701715083833,0.260990609591,0.5,0.20406,0.256376108751916,0.5,0.36864,0.583882412569691,0.5,0.74786,2.96605060680574,"ss",10000,10000,10000,5,TRUE,1,"2026-04-25T14:31:00-0500"
"protein","milne2006","mortality","SMD_g","positive","milne2006_protein_mortality","output/protein/milne2006",9,0.248469492665749,0.134619590763988,0.0396997530466002,0.467719220133565,1,1,Inf,1,1,Inf,0.074253699438264,0.0513092980608003,0,0.357271839174764,0.5,0.38014,0.613267512018843,0.5,0.36266,0.569021244547651,0.5,0.6725,2.05343511450382,"ss",10000,10000,10000,5,TRUE,1,"2026-04-25T14:31:19-0500"
"protein","morton2018","lean_body_mass","SMD_g","positive","morton2018_protein_lean_body_mass","output/protein/morton2018",26,0.19611533142458,0.112448955165707,0.070980976655313,0.325326847649344,1,1,Inf,1,1,Inf,0.00403775080296301,0.0259408643631587,-0.137795644805888,0.188594007563184,0.5,0.158,0.187648456057007,0.5,0.25726,0.346366157740259,0.5,0.9562,21.8310502283105,"ss",10000,10000,10000,5,TRUE,1,"2026-04-25T14:31:56-0500"
"protein","morton2018","muscle_fiber_size","SMD_g","positive","morton2018_protein_muscle_fiber_size","output/protein/morton2018",11,0.443991601141119,0.449110579710312,0.0660110012362668,0.800036214218895,1,1,Inf,1,1,Inf,0.190327201170094,0.45441541469404,-0.0786856296687395,0.696950678039233,0.5,0.53382,1.14509416963405,0.5,0.93338,14.0105073551486,0.5,0.61546,1.60050969990118,"ss",10000,10000,10000,5,TRUE,1,"2026-04-25T14:32:19-0500"
