"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.525833333333333,1.10896309314587,4.67395113882699
"Effect","Normal(0, 0.71)","Alternative",0.5,0.474166666666667,0.901743264659271,4.67395113882699
"Heterogeneity","Spike(0)","Null",0.5,0.6708,2.03766707168894,1.60256658605787
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.3292,0.490757304710793,1.60256658605787
"Publication Bias","None","Null",0.5,0.274566666666667,0.378486421908744,5.1206997301212
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0157666666666667,0.368442442510245,5.4830289417099
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0071,0.164467720817806,7.39847091368043
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0100666666666667,0.233887803892518,6.63998927003683
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0133333333333333,0.310810810810811,5.93639603341116
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0341,0.811988818718294,4.04443183610618
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.044,1.05857740585774,3.82857501447434
"Publication Bias","PET","Alternative",0.125,0.310733333333333,3.15572105619499,3.65668931060632
"Publication Bias","PEESE","Alternative",0.125,0.290333333333333,2.86378581493659,4.13458457110741
