"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.656533333333333,1.91149068322981,3.97046825256929
"Effect","Normal(0, 0.71)","Alternative",0.5,0.343466666666667,0.523151909017059,3.97046825256929
"Heterogeneity","Spike(0)","Null",0.5,0.701766666666667,2.35307924443948,1.61144267796919
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.298233333333333,0.424975062936399,1.61144267796919
"Publication Bias","None","Null",0.5,0.123333333333333,0.140684410646388,6.15091178395344
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0046,0.106288929073739,10.420865992315
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0023,0.0530219504861181,14.9784828444391
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.00443333333333333,0.102420731911474,10.534752425071
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.00283333333333333,0.0653518301855257,12.9429463659671
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0209666666666667,0.492560689115114,5.62772562146602
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0203333333333333,0.477373256209595,5.14119878942379
"Publication Bias","PET","Alternative",0.125,0.3354,3.53265121877821,4.14131209548529
"Publication Bias","PEESE","Alternative",0.125,0.4858,6.61338000777907,4.68183180661595
