"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.7623,3.20698359276399,4.84480316573335
"Effect","Normal(0, 0.71)","Alternative",0.5,0.2377,0.311819493637675,4.84480316573335
"Heterogeneity","Spike(0)","Null",0.5,0.856,5.94444444444444,2.66160589499544
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.144,0.168224299065421,2.66160589499544
"Publication Bias","None","Null",0.5,0.734966666666667,2.77311030059112,1.54472716838469
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0357,0.851498496318573,3.15595634910276
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0202333333333333,0.474977035348552,4.44466738078646
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0333333333333333,0.793103448275862,3.36751043717742
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0206333333333333,0.484564854838161,4.17109308773866
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0349,0.831727282146928,3.27665286785491
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0243666666666667,0.574430284601455,4.00936403652606
"Publication Bias","PET","Alternative",0.125,0.0781666666666667,0.593563550894956,2.74394848184895
"Publication Bias","PEESE","Alternative",0.125,0.0177,0.126132546065357,5.31436025990847
