"Effect","Heterogeneity","Publication Bias","prior_prob","post_prob","inclusion_BF","BF_error_percent","effect_present","het_present","bias_present","mu_family","tau_family","omega_family","rigor_family"
"Spike(0)","Spike(0)","None",0.125,0.521233333333333,7.62090092599039,1.34281283364647,FALSE,FALSE,FALSE,"mu0","tau0","omega0",FALSE
"Normal(0, 0.71)","Spike(0)","None",0.125,0.0237,0.16992727645191,5.13590327648862,TRUE,FALSE,FALSE,"muplus","tau0","omega0",TRUE
"Spike(0)","Normal(0, 0.35)[0, Inf]","None",0.125,0.1453,1.19000819000819,2.14803060711606,FALSE,TRUE,FALSE,"mu0","tauplus","omega0",FALSE
"Normal(0, 0.71)","Normal(0, 0.35)[0, Inf]","None",0.125,0.00696666666666667,0.0491087912456782,8.32632922404652,TRUE,TRUE,FALSE,"muplus","tauplus","omega0",TRUE
"Spike(0)","Spike(0)","omega[two-sided: .05]",0.0104166666666667,0.0454333333333333,4.52159793274435,2.90723948883733,FALSE,FALSE,TRUE,"mu0","tau0","omegaplus",FALSE
"Normal(0, 0.71)","Spike(0)","omega[two-sided: .05]",0.0104166666666667,0.00183333333333333,0.174486558690933,14.8796412812117,TRUE,FALSE,TRUE,"muplus","tau0","omegaplus",FALSE
"Spike(0)","Normal(0, 0.35)[0, Inf]","omega[two-sided: .05]",0.0104166666666667,0.009,0.8627648839556,6.26541704036835,FALSE,TRUE,TRUE,"mu0","tauplus","omegaplus",FALSE
"Normal(0, 0.71)","Normal(0, 0.35)[0, Inf]","omega[two-sided: .05]",0.0104166666666667,5e-04,0.0475237618809405,25.8252251265114,TRUE,TRUE,TRUE,"muplus","tauplus","omegaplus",FALSE
"Spike(0)","Spike(0)","omega[two-sided: .05, .1]",0.0104166666666667,0.0194666666666667,1.8860484090291,4.65488224064464,FALSE,FALSE,TRUE,"mu0","tau0","omegaplus",FALSE
"Normal(0, 0.71)","Spike(0)","omega[two-sided: .05, .1]",0.0104166666666667,0.000866666666666667,0.0824047507840128,21.9640796649557,TRUE,FALSE,TRUE,"muplus","tau0","omegaplus",FALSE
"Spike(0)","Normal(0, 0.35)[0, Inf]","omega[two-sided: .05, .1]",0.0104166666666667,0.00336666666666667,0.320913742934546,10.3332905940678,FALSE,TRUE,TRUE,"mu0","tauplus","omegaplus",FALSE
"Normal(0, 0.71)","Normal(0, 0.35)[0, Inf]","omega[two-sided: .05, .1]",0.0104166666666667,6.66666666666667e-05,0.00633375558370558,70.7153924781513,TRUE,TRUE,TRUE,"muplus","tauplus","omegaplus",FALSE
"Spike(0)","Spike(0)","omega[one-sided: .05]",0.0104166666666667,0.046,4.58071278825996,2.81734737981527,FALSE,FALSE,TRUE,"mu0","tau0","omegaplus",FALSE
"Normal(0, 0.71)","Spike(0)","omega[one-sided: .05]",0.0104166666666667,0.00163333333333333,0.155420520182966,16.1318573056008,TRUE,FALSE,TRUE,"muplus","tau0","omegaplus",FALSE
"Spike(0)","Normal(0, 0.35)[0, Inf]","omega[one-sided: .05]",0.0104166666666667,0.00876666666666667,0.840199078588963,6.40920112080198,FALSE,TRUE,TRUE,"mu0","tauplus","omegaplus",FALSE
"Normal(0, 0.71)","Normal(0, 0.35)[0, Inf]","omega[one-sided: .05]",0.0104166666666667,0.000366666666666667,0.0348461102404215,30.1578055038094,TRUE,TRUE,TRUE,"muplus","tauplus","omegaplus",FALSE
"Spike(0)","Spike(0)","omega[one-sided: .025, .05]",0.0104166666666667,0.0533333333333333,5.35211267605634,2.72147470805476,FALSE,FALSE,TRUE,"mu0","tau0","omegaplus",FALSE
"Normal(0, 0.71)","Spike(0)","omega[one-sided: .025, .05]",0.0104166666666667,0.00253333333333333,0.241277904023526,12.1984090077368,TRUE,FALSE,TRUE,"muplus","tau0","omegaplus",FALSE
"Spike(0)","Normal(0, 0.35)[0, Inf]","omega[one-sided: .025, .05]",0.0104166666666667,0.0089,0.853092523458783,6.46981652929195,FALSE,TRUE,TRUE,"mu0","tauplus","omegaplus",FALSE
"Normal(0, 0.71)","Normal(0, 0.35)[0, Inf]","omega[one-sided: .025, .05]",0.0104166666666667,0.000433333333333333,0.0411845132890919,27.7427635689259,TRUE,TRUE,TRUE,"muplus","tauplus","omegaplus",FALSE
"Spike(0)","Spike(0)","omega[one-sided: .05, .5]",0.0104166666666667,0.0138666666666667,1.33585722011898,5.29897228799895,FALSE,FALSE,TRUE,"mu0","tau0","omegaplus",FALSE
"Normal(0, 0.71)","Spike(0)","omega[one-sided: .05, .5]",0.0104166666666667,5e-04,0.0475237618809405,25.8262589280974,TRUE,FALSE,TRUE,"muplus","tau0","omegaplus",FALSE
"Spike(0)","Normal(0, 0.35)[0, Inf]","omega[one-sided: .05, .5]",0.0104166666666667,0.00303333333333333,0.289043431742954,10.6045486195803,FALSE,TRUE,TRUE,"mu0","tauplus","omegaplus",FALSE
"Normal(0, 0.71)","Normal(0, 0.35)[0, Inf]","omega[one-sided: .05, .5]",0.0104166666666667,0.000166666666666667,0.0158359726621104,44.7252351882334,TRUE,TRUE,TRUE,"muplus","tauplus","omegaplus",FALSE
"Spike(0)","Spike(0)","omega[one-sided: .025, .05, .5]",0.0104166666666667,0.0176333333333333,1.70523565539004,4.91974375384719,FALSE,FALSE,TRUE,"mu0","tau0","omegaplus",FALSE
"Normal(0, 0.71)","Spike(0)","omega[one-sided: .025, .05, .5]",0.0104166666666667,0.001,0.0950950950950951,18.8390014230879,TRUE,FALSE,TRUE,"muplus","tau0","omegaplus",FALSE
