"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.818,4.49450549450549,5.75799075258338
"Effect","Normal(0, 0.71)","Alternative",0.5,0.182,0.222493887530562,5.75799075258338
"Heterogeneity","Spike(0)","Null",0.5,0.788433333333333,3.72664250827162,2.68046939157079
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.211566666666667,0.268338054369425,2.68046939157079
"Publication Bias","None","Null",0.5,0.0598,0.0636034886194427,6.8840988515044
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.00196666666666667,0.0453224675194549,14.6633877876809
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0023,0.0530219504861181,15.0566355008323
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0052,0.120225170888621,9.83375037720895
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.00346666666666667,0.08001070377308,11.6450850296673
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.031,0.735810113519092,5.89551870188218
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0200666666666667,0.470984420708892,6.12062806310753
"Publication Bias","PET","Alternative",0.125,0.802666666666667,28.472972972973,5.72238697364182
"Publication Bias","PEESE","Alternative",0.125,0.0735333333333333,0.555587536878463,5.03634222957814
