"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.5674,1.31160425335183,3.40567187174684
"Effect","Normal(0, 0.71)","Alternative",0.5,0.4326,0.76242509693338,3.40567187174684
"Heterogeneity","Spike(0)","Null",0.5,0.175333333333333,0.212611156022635,2.64326034407205
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.824666666666667,4.70342205323194,2.64326034407205
"Publication Bias","None","Null",0.5,0.377533333333333,0.606511727535611,2.34209861133689
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0195666666666667,0.459014721381702,4.56025975789431
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0180666666666667,0.423178762984588,4.64143477495901
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0328,0.779983457402812,3.3499998574369
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.033,0.784901758014478,3.46280963220856
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.103133333333333,2.64483758269531,2.36161549101125
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.102066666666667,2.61437374712302,2.4602760364172
"Publication Bias","PET","Alternative",0.125,0.227366666666667,2.05992493205056,2.60909548766855
"Publication Bias","PEESE","Alternative",0.125,0.0864666666666667,0.662555644749325,2.90865282469334
