"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.976066666666667,40.7827298050139,6.16012439557369
"Effect","Normal(0, 0.71)","Alternative",0.5,0.0239333333333333,0.024520183047606,6.1601243955737
"Heterogeneity","Spike(0)","Null",0.5,0.898366666666667,8.83929157100689,3.02617293820329
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.101633333333333,0.113131238172981,3.02617293820329
"Publication Bias","None","Null",0.5,0.677833333333333,2.10398344542162,1.42225047041255
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.024,0.565573770491803,3.87588237052718
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0151,0.352624631942329,4.98787192770422
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0337,0.802131843112905,3.27877427720648
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0213333333333333,0.501362397820164,4.08061382732938
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0405333333333333,0.971650917176209,3.13471583007645
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0302666666666667,0.717860580228242,3.5373036403971
"Publication Bias","PET","Alternative",0.125,0.107666666666667,0.844602166604408,2.53783175860087
"Publication Bias","PEESE","Alternative",0.125,0.0495666666666667,0.365061550871532,3.52000705036167
