"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.555733333333333,1.25090036014406,5.2336337092631
"Effect","Normal(0, 0.71)","Alternative",0.5,0.444266666666667,0.799424184261036,5.2336337092631
"Heterogeneity","Spike(0)","Null",0.5,0.440166666666667,0.786245906519798,2.39920081977125
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.559833333333333,1.27186671715259,2.39920081977125
"Publication Bias","None","Null",0.5,0.1181,0.133915409910421,4.86246528840422
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0305666666666667,0.725200288828525,5.00537786072713
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0305333333333333,0.724384541328565,4.86575837816105
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0458333333333333,1.10480349344978,3.75768354977721
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.100966666666667,2.58303362871232,3.41150005236677
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0363666666666667,0.867999584904355,4.43268398361846
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0706666666666667,1.74892395982783,3.61622541395327
"Publication Bias","PET","Alternative",0.125,0.5364,8.09922346850733,4.53422803248576
"Publication Bias","PEESE","Alternative",0.125,0.0305666666666667,0.220713131382595,5.08624364630765
