"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.800766666666667,4.0192404216162,3.0096304911055
"Effect","Normal(0, 0.71)","Alternative",0.5,0.199233333333333,0.248803230237689,3.0096304911055
"Heterogeneity","Spike(0)","Null",0.5,0,0,NA
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,1,Inf,NA
"Publication Bias","None","Null",0.5,0.534566666666667,1.14853541502542,1.35185880397161
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0126,0.293498075754507,5.33321886382501
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0049,0.113254949251332,8.27507981423595
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0329333333333333,0.783262098442024,3.29465323406664
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0281,0.664986109682066,3.71700594301974
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0245,0.577652485904664,3.81436623555923
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0211333333333333,0.496560648368862,4.25195265229841
"Publication Bias","PET","Alternative",0.125,0.217166666666667,1.94187779433681,1.85788840450161
"Publication Bias","PEESE","Alternative",0.125,0.1241,0.99177988354835,2.13440235378699
