"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.9104,10.1607142857143,3.1187142548254
"Effect","Normal(0, 0.71)","Alternative",0.5,0.0896,0.0984182776801406,3.1187142548254
"Heterogeneity","Spike(0)","Null",0.5,0.813466666666667,4.36097212294496,2.02019588510426
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.186533333333333,0.229306671037535,2.02019588510426
"Publication Bias","None","Null",0.5,0.698733333333333,2.3193184332817,1.39075622962939
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0281666666666667,0.666609500943234,3.49866785213988
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0134666666666667,0.313961346127855,5.15835695651509
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0277666666666667,0.656872492885796,3.54771381525344
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0216666666666667,0.509369676320273,3.99584659703675
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0524333333333333,1.27269849087135,2.78575983526778
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0433666666666667,1.04264956967142,2.9783455578184
"Publication Bias","PET","Alternative",0.125,0.0641666666666667,0.479964381121995,2.91358325420539
"Publication Bias","PEESE","Alternative",0.125,0.0502333333333333,0.370231284876987,3.28557393054846
