"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.756666666666667,3.10958904109589,3.64003699785787
"Effect","Normal(0, 0.71)","Alternative",0.5,0.243333333333333,0.3215859030837,3.64003699785787
"Heterogeneity","Spike(0)","Null",0.5,0.146566666666667,0.171737686989806,2.7414911810535
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.853433333333333,5.82283375028428,2.7414911810535
"Publication Bias","None","Null",0.5,0.110333333333333,0.124016485575122,4.13946394386205
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.00356666666666667,0.0823269661793731,10.7924029638299
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.00426666666666667,0.0985538296732727,10.1823063870393
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0279666666666667,0.661739995199067,3.97305439435087
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0180666666666667,0.423178762984588,4.98729708033364
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0638,1.56740012817774,2.98267136916529
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0473,1.14191245932613,3.2970101672138
"Publication Bias","PET","Alternative",0.125,0.283466666666667,2.76925939709713,2.90244139362508
"Publication Bias","PEESE","Alternative",0.125,0.441233333333333,5.52759052675535,3.06625084499757
