"dataset_id","analysis_id","stratum","ODR","EDR","Soric_FDR","MissingN","run_id"
"autier2007_vitamind_total_mortality","nutrition_v4__vitamind__autier2007__total_mortality__main","vitamind",0.06,0.0500000000000001,1,0,"20260515T185450_autier2007_vitamind_total_mortality"
"bergman2013_vitamind_respiratory_tract_infection","nutrition_v4__vitamind__bergman2013__respiratory_tract_infection__main","vitamind",0.55,0.0500000000000001,1,0,"20260515T185506_bergman2013_vitamind_respiratory_tract_infection"
"beveridge2015_vitamind_systolic_blood_pressure","nutrition_v4__vitamind__beveridge2015__systolic_blood_pressure__main","vitamind",0.09,0.0500000000000001,1,0,"20260515T185509_beveridge2015_vitamind_systolic_blood_pressure"
"bischoffferrari2005_vitamind_nonvertebral_fracture","nutrition_v4__vitamind__bischoffferrari2005__nonvertebral_fracture__main","vitamind",0.6,0.228886553790352,0.177314642992722,0,"20260515T185520_bischoffferrari2005_vitamind_nonvertebral_fracture"
"bischoffferrari2009_vitamind_falls","nutrition_v4__vitamind__bischoffferrari2009__falls__main","vitamind",0.14,0.0500000000000001,1,0,"20260515T185535_bischoffferrari2009_vitamind_falls"
"bjelakovic2014_vitamind_all_cause_mortality","nutrition_v4__vitamind__bjelakovic2014__all_cause_mortality__main","vitamind",0.04,0.0500000000000001,0.999999999999999,0,"20260515T185544_bjelakovic2014_vitamind_all_cause_mortality"
"chen2024_vitamind_fasting_blood_glucose","nutrition_v4__vitamind__chen2024__fasting_blood_glucose__main","vitamind",0.2,0.39733090996138,0.0798312565674716,0,"20260515T185549_chen2024_vitamind_fasting_blood_glucose"
"chen2024_vitamind_fasting_insulin","nutrition_v4__vitamind__chen2024__fasting_insulin__main","vitamind",0.28,0.399539689395167,0.0790989608326115,0,"20260515T185606_chen2024_vitamind_fasting_insulin"
"chen2024_vitamind_hba1c","nutrition_v4__vitamind__chen2024__hba1c__main","vitamind",0.28,0.346039502711987,0.0994654465957898,0,"20260515T185620_chen2024_vitamind_hba1c"
"chen2024_vitamind_homa_ir_excl","nutrition_v4__vitamind__chen2024__homa_ir__excl","vitamind",0.2,0.168873898836002,0.259030432852739,0,"20260515T185622_chen2024_vitamind_homa_ir_excl"
"jolliffe2021_vitamind_acute_respiratory_infections","nutrition_v4__vitamind__jolliffe2021__acute_respiratory_infections__main","vitamind",0.22,0.0500000000000001,1,88.7976211447856,"20260515T185637_jolliffe2021_vitamind_acute_respiratory_infections"
"juraschek2012_vitamind_diastolic_blood_pressure","nutrition_v4__vitamind__juraschek2012__diastolic_blood_pressure__main","vitamind",0.38,0.365207670709172,0.0914825324731768,0,"20260515T185653_juraschek2012_vitamind_diastolic_blood_pressure"
"juraschek2012_vitamind_systolic_blood_pressure","nutrition_v4__vitamind__juraschek2012__systolic_blood_pressure__main","vitamind",0.42,0.41116549490053,0.0753742474173372,0,"20260515T185655_juraschek2012_vitamind_systolic_blood_pressure"
"macpherson2013_vitamind_all_cause_mortality","nutrition_v4__vitamind__macpherson2013__all_cause_mortality__main","vitamind",0,0.0500000000000001,1,0,"20260515T185717_macpherson2013_vitamind_all_cause_mortality"
"martineau2017_vitamind_respiratory_tract_infections","nutrition_v4__vitamind__martineau2017__respiratory_tract_infections__main","vitamind",0.33,0.0500000000000001,1,73.2272650342653,"20260515T185725_martineau2017_vitamind_respiratory_tract_infections"
"mayowilson2011_vitamind_all_cause_mortality","nutrition_v4__vitamind__mayowilson2011__all_cause_mortality__main","vitamind",0.44,0.145601704335042,0.308844815870201,0,"20260515T185730_mayowilson2011_vitamind_all_cause_mortality"
"mayowilson2011_vitamind_diarrhoea_incidence","nutrition_v4__vitamind__mayowilson2011__diarrhoea_incidence__main","vitamind",0.42,0.57656236884132,0.0386535651962364,0,"20260515T185748_mayowilson2011_vitamind_diarrhoea_incidence"
"rakshasbhuvankar2021_vitamind_mortality","nutrition_v4__vitamind__rakshasbhuvankar2021__mortality__main","vitamind",0,0.0500000000000001,1,0,"20260515T185800_rakshasbhuvankar2021_vitamind_mortality"
"reid2014_vitamind_femoral_bone_mineral_density","nutrition_v4__vitamind__reid2014__femoral_bone_mineral_density__main","vitamind",0.23,0.196973614910655,0.214569598605794,0,"20260515T185801_reid2014_vitamind_femoral_bone_mineral_density"
"reid2014_vitamind_lumbar_bone_mineral_density","nutrition_v4__vitamind__reid2014__lumbar_bone_mineral_density__main","vitamind",0.06,0.0500000000000001,1,0,"20260515T185815_reid2014_vitamind_lumbar_bone_mineral_density"
"stockton2011_vitamind_muscle_strength","nutrition_v4__vitamind__stockton2011__muscle_strength__main","vitamind",0,0.0500000000000001,1,6.01158905153323,"20260515T185828_stockton2011_vitamind_muscle_strength"
"yao2019_vitamind_any_fracture","nutrition_v4__vitamind__yao2019__any_fracture__main","vitamind",0.18,0.0500000000000001,1,0,"20260515T185830_yao2019_vitamind_any_fracture"
"zhang2019_vitamind_all_cause_mortality","nutrition_v4__vitamind__zhang2019__all_cause_mortality__main","vitamind",0.04,0.0500000000000001,1,0,"20260515T185845_zhang2019_vitamind_all_cause_mortality"
