"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.9824,55.8181818181818,7.00599473853948
"Effect","Normal(0, 0.71)","Alternative",0.5,0.0176,0.0179153094462541,7.00599473853946
"Heterogeneity","Spike(0)","Null",0.5,0.906366666666667,9.67995728017088,3.15200701538247
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.0936333333333333,0.103306241035637,3.15200701538247
"Publication Bias","None","Null",0.5,0.788666666666667,3.73186119873817,1.6019123517644
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0271,0.640661938534279,3.90627517656204
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0101,0.234670168703909,6.12697721616189
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0216,0.507767784137367,4.03279202627107
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0107666666666667,0.25032853725107,5.91187909499921
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0355333333333333,0.847376788553259,3.42597908374616
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0247666666666667,0.584099531735995,4.1647193879659
"Publication Bias","PET","Alternative",0.125,0.0522666666666667,0.386043894203714,3.20255660149498
"Publication Bias","PEESE","Alternative",0.125,0.0292,0.210548001648125,4.63244914982799
