cell,stratum,cell_slug,legacy_cell_code,eff_band,effect_slug,effect_label,mu_true,het_band,heterogeneity_slug,heterogeneity_label,tau_true,bias_band,bias_slug,bias_label,selection,w_sig01,w_sig05,w_ns,smallstudy_alpha,cell_label,stress_role,notes
null_lowhet_clean,sim_null_lowhet_clean,null_lowhet_clean,e0_h0_b0,e0,null,null effect,0.00,h0,lowhet,low heterogeneity,0.05,b0,clean,clean / no bias mechanism,none,1.00,1.00,1.00,0.00,null effect / low heterogeneity / clean / no bias mechanism,calibration/core,truth anchor for clean no-effect behavior | low heterogeneity / near homogeneous | negative-control bias regime
null_lowhet_modbias,sim_null_lowhet_modbias,null_lowhet_modbias,e0_h0_b1,e0,null,null effect,0.00,h0,lowhet,low heterogeneity,0.05,b1,modbias,moderate composite bias burden,threshold,1.00,0.50,0.20,0.25,null effect / low heterogeneity / moderate composite bias burden,calibration/core,truth anchor for clean no-effect behavior | low heterogeneity / near homogeneous | threshold selection plus mild SE-proportional small-study bias
null_lowhet_highbias,sim_null_lowhet_highbias,null_lowhet_highbias,e0_h0_b2,e0,null,null effect,0.00,h0,lowhet,low heterogeneity,0.05,b2,highbias,severe composite bias burden,threshold,1.00,0.25,0.05,0.50,null effect / low heterogeneity / severe composite bias burden,severe-bias stress,truth anchor for clean no-effect behavior | low heterogeneity / near homogeneous | threshold selection plus stronger SE-proportional small-study bias
null_midhet_clean,sim_null_midhet_clean,null_midhet_clean,e0_h1_b0,e0,null,null effect,0.00,h1,midhet,mid heterogeneity,0.15,b0,clean,clean / no bias mechanism,none,1.00,1.00,1.00,0.00,null effect / mid heterogeneity / clean / no bias mechanism,calibration/core,truth anchor for clean no-effect behavior | central heterogeneity regime | negative-control bias regime
null_midhet_modbias,sim_null_midhet_modbias,null_midhet_modbias,e0_h1_b1,e0,null,null effect,0.00,h1,midhet,mid heterogeneity,0.15,b1,modbias,moderate composite bias burden,threshold,1.00,0.50,0.20,0.25,null effect / mid heterogeneity / moderate composite bias burden,calibration/core,truth anchor for clean no-effect behavior | central heterogeneity regime | threshold selection plus mild SE-proportional small-study bias
null_midhet_highbias,sim_null_midhet_highbias,null_midhet_highbias,e0_h1_b2,e0,null,null effect,0.00,h1,midhet,mid heterogeneity,0.15,b2,highbias,severe composite bias burden,threshold,1.00,0.25,0.05,0.50,null effect / mid heterogeneity / severe composite bias burden,severe-bias stress,truth anchor for clean no-effect behavior | central heterogeneity regime | threshold selection plus stronger SE-proportional small-study bias
null_highhet_clean,sim_null_highhet_clean,null_highhet_clean,e0_h2_b0,e0,null,null effect,0.00,h2,highhet,high heterogeneity,0.40,b0,clean,clean / no bias mechanism,none,1.00,1.00,1.00,0.00,null effect / high heterogeneity / clean / no bias mechanism,high-heterogeneity stress,truth anchor for clean no-effect behavior | stress / high-dispersion regime | negative-control bias regime
null_highhet_modbias,sim_null_highhet_modbias,null_highhet_modbias,e0_h2_b1,e0,null,null effect,0.00,h2,highhet,high heterogeneity,0.40,b1,modbias,moderate composite bias burden,threshold,1.00,0.50,0.20,0.25,null effect / high heterogeneity / moderate composite bias burden,high-heterogeneity stress,truth anchor for clean no-effect behavior | stress / high-dispersion regime | threshold selection plus mild SE-proportional small-study bias
null_highhet_highbias,sim_null_highhet_highbias,null_highhet_highbias,e0_h2_b2,e0,null,null effect,0.00,h2,highhet,high heterogeneity,0.40,b2,highbias,severe composite bias burden,threshold,1.00,0.25,0.05,0.50,null effect / high heterogeneity / severe composite bias burden,high-heterogeneity stress; severe-bias stress,truth anchor for clean no-effect behavior | stress / high-dispersion regime | threshold selection plus stronger SE-proportional small-study bias
small_lowhet_clean,sim_small_lowhet_clean,small_lowhet_clean,e1_h0_b0,e1,small,small effect,0.10,h0,lowhet,low heterogeneity,0.05,b0,clean,clean / no bias mechanism,none,1.00,1.00,1.00,0.00,small effect / low heterogeneity / clean / no bias mechanism,calibration/core,near-boundary effect regime; expect fragile rigor at low information | low heterogeneity / near homogeneous | negative-control bias regime
small_lowhet_modbias,sim_small_lowhet_modbias,small_lowhet_modbias,e1_h0_b1,e1,small,small effect,0.10,h0,lowhet,low heterogeneity,0.05,b1,modbias,moderate composite bias burden,threshold,1.00,0.50,0.20,0.25,small effect / low heterogeneity / moderate composite bias burden,calibration/core,near-boundary effect regime; expect fragile rigor at low information | low heterogeneity / near homogeneous | threshold selection plus mild SE-proportional small-study bias
small_lowhet_highbias,sim_small_lowhet_highbias,small_lowhet_highbias,e1_h0_b2,e1,small,small effect,0.10,h0,lowhet,low heterogeneity,0.05,b2,highbias,severe composite bias burden,threshold,1.00,0.25,0.05,0.50,small effect / low heterogeneity / severe composite bias burden,severe-bias stress,near-boundary effect regime; expect fragile rigor at low information | low heterogeneity / near homogeneous | threshold selection plus stronger SE-proportional small-study bias
small_midhet_clean,sim_small_midhet_clean,small_midhet_clean,e1_h1_b0,e1,small,small effect,0.10,h1,midhet,mid heterogeneity,0.15,b0,clean,clean / no bias mechanism,none,1.00,1.00,1.00,0.00,small effect / mid heterogeneity / clean / no bias mechanism,calibration/core,near-boundary effect regime; expect fragile rigor at low information | central heterogeneity regime | negative-control bias regime
small_midhet_modbias,sim_small_midhet_modbias,small_midhet_modbias,e1_h1_b1,e1,small,small effect,0.10,h1,midhet,mid heterogeneity,0.15,b1,modbias,moderate composite bias burden,threshold,1.00,0.50,0.20,0.25,small effect / mid heterogeneity / moderate composite bias burden,calibration/core,near-boundary effect regime; expect fragile rigor at low information | central heterogeneity regime | threshold selection plus mild SE-proportional small-study bias
small_midhet_highbias,sim_small_midhet_highbias,small_midhet_highbias,e1_h1_b2,e1,small,small effect,0.10,h1,midhet,mid heterogeneity,0.15,b2,highbias,severe composite bias burden,threshold,1.00,0.25,0.05,0.50,small effect / mid heterogeneity / severe composite bias burden,severe-bias stress,near-boundary effect regime; expect fragile rigor at low information | central heterogeneity regime | threshold selection plus stronger SE-proportional small-study bias
small_highhet_clean,sim_small_highhet_clean,small_highhet_clean,e1_h2_b0,e1,small,small effect,0.10,h2,highhet,high heterogeneity,0.40,b0,clean,clean / no bias mechanism,none,1.00,1.00,1.00,0.00,small effect / high heterogeneity / clean / no bias mechanism,high-heterogeneity stress,near-boundary effect regime; expect fragile rigor at low information | stress / high-dispersion regime | negative-control bias regime
small_highhet_modbias,sim_small_highhet_modbias,small_highhet_modbias,e1_h2_b1,e1,small,small effect,0.10,h2,highhet,high heterogeneity,0.40,b1,modbias,moderate composite bias burden,threshold,1.00,0.50,0.20,0.25,small effect / high heterogeneity / moderate composite bias burden,high-heterogeneity stress,near-boundary effect regime; expect fragile rigor at low information | stress / high-dispersion regime | threshold selection plus mild SE-proportional small-study bias
small_highhet_highbias,sim_small_highhet_highbias,small_highhet_highbias,e1_h2_b2,e1,small,small effect,0.10,h2,highhet,high heterogeneity,0.40,b2,highbias,severe composite bias burden,threshold,1.00,0.25,0.05,0.50,small effect / high heterogeneity / severe composite bias burden,high-heterogeneity stress; severe-bias stress,near-boundary effect regime; expect fragile rigor at low information | stress / high-dispersion regime | threshold selection plus stronger SE-proportional small-study bias
moderate_lowhet_clean,sim_moderate_lowhet_clean,moderate_lowhet_clean,e2_h0_b0,e2,moderate,moderate effect,0.25,h0,lowhet,low heterogeneity,0.05,b0,clean,clean / no bias mechanism,none,1.00,1.00,1.00,0.00,moderate effect / low heterogeneity / clean / no bias mechanism,calibration/core,central non-null effect regime | low heterogeneity / near homogeneous | negative-control bias regime
moderate_lowhet_modbias,sim_moderate_lowhet_modbias,moderate_lowhet_modbias,e2_h0_b1,e2,moderate,moderate effect,0.25,h0,lowhet,low heterogeneity,0.05,b1,modbias,moderate composite bias burden,threshold,1.00,0.50,0.20,0.25,moderate effect / low heterogeneity / moderate composite bias burden,calibration/core,central non-null effect regime | low heterogeneity / near homogeneous | threshold selection plus mild SE-proportional small-study bias
